,image_6179,image_7588,image_278,image_5409,image_8832,image_4664,image_7229,image_5833,image_3961,image_5712,image_9531,image_560,image_9837,image_9729,image_3159,image_1366,image_1448,image_8931,image_4337,image_7803,image_4936
image_6179,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7588,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_278,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5409,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8832,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4664,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7229,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0
image_5833,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
image_3961,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_5712,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9531,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_560,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9837,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
image_9729,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_1366,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0
image_1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_7803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
