,image_1845,image_5822,image_393,image_4967,image_1385,image_7542,image_7811,image_7212,image_4620,image_6209,image_6586,image_6954,image_3365,image_8582,image_7193,image_3516,image_6172,image_8082,image_7058,image_6423,image_4858,image_448
image_1845,4,3,2,0,0,2,0,0,0,0,0,0,4,3,4,2,0,0,0,0,0,0
image_5822,3,4,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0
image_393,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4967,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1385,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
image_7542,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
image_7811,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7212,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4620,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6209,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_6586,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_6954,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3365,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_8582,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_7193,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0
image_3516,2,4,0,0,2,2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
image_6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1
image_8082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_4858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
image_448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
