,image_9665,image_249,image_5820,image_7923,image_7935,image_9997,image_1859,image_392,image_9000,image_6899,image_8045,image_4844,image_2626,image_7733,image_3564,image_7380,image_7583,image_5959,image_6169,image_9767,image_3076,image_9393,image_4374
image_9665,4,0,0,0,0,4,0,2,2,1,0,0,0,0,0,0,0,0,0,4,4,4,4
image_249,0,4,0,0,0,0,3,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
image_5820,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7923,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7935,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9997,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
image_1859,0,3,0,0,0,0,4,0,0,0,4,1,4,3,0,0,0,0,3,0,0,0,0
image_392,2,2,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,0,3,2,2,3,4
image_9000,2,2,0,0,0,0,0,0,4,0,2,0,2,1,0,0,0,0,3,2,2,2,4
image_6899,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,2,2
image_8045,0,0,0,0,0,0,4,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4844,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,1
image_2626,0,0,0,0,0,0,4,2,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0
image_7733,0,0,0,0,0,0,3,1,1,0,0,0,0,4,0,0,0,0,3,0,0,0,0
image_3564,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_7380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_7583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_5959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6169,0,0,0,0,0,0,3,3,3,0,0,0,4,3,0,0,0,0,4,0,0,0,0
image_9767,4,0,0,0,0,4,0,2,2,2,0,1,0,0,0,0,0,0,0,4,0,0,4
image_3076,4,0,0,0,0,4,0,2,2,2,0,1,0,0,0,0,0,0,0,0,4,0,4
image_9393,4,0,0,0,0,4,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,4,4
image_4374,4,0,0,0,0,4,0,4,4,2,0,1,0,0,0,0,0,0,0,4,4,4,4
