,image_6589,image_5896,image_998,image_6009,image_1869,image_1778,image_9244,image_1597,image_4643,image_2934,image_3308,image_7499,image_8193,image_6601,image_2011,image_6790,image_6076,image_1907,image_8397
image_6589,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5896,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_998,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6009,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1869,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1778,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9244,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1597,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_4643,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2934,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3308,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_7499,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_8193,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_6601,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_6790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_8397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
