,image_3192,image_8316,image_764,image_6194,image_3761,image_2842,image_1865,image_5504,image_1763,image_2434,image_7895,image_1727,image_2461,image_9628
image_3192,4,0,0,1,0,0,1,1,1,1,0,0,0,2
image_8316,0,4,0,4,0,0,4,4,4,4,0,0,0,1
image_764,0,0,4,4,0,0,4,4,4,4,0,0,0,1
image_6194,1,4,4,4,0,0,4,4,4,4,0,0,0,1
image_3761,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_2842,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1865,1,4,4,4,0,0,4,0,4,4,0,0,0,1
image_5504,1,4,4,4,0,0,0,4,4,4,0,0,0,1
image_1763,1,4,4,4,0,0,4,4,4,0,0,0,0,1
image_2434,1,4,4,4,0,0,4,4,0,4,0,0,0,1
image_7895,0,0,0,0,0,0,0,0,0,0,4,4,0,0
image_1727,0,0,0,0,0,0,0,0,0,0,4,4,0,0
image_2461,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9628,2,1,1,1,0,0,1,1,1,1,0,0,0,4
