,image_3896,image_3270,image_753,image_4817,image_6619,image_9887,image_907,image_6384,image_2377,image_3796,image_155,image_4538
image_3896,4,0,0,0,0,0,0,0,0,0,0,0
image_3270,0,4,0,0,0,0,0,0,0,2,0,2
image_753,0,0,4,0,0,0,0,0,0,0,0,0
image_4817,0,0,0,4,0,0,0,0,0,0,0,0
image_6619,0,0,0,0,4,0,0,0,0,0,4,0
image_9887,0,0,0,0,0,4,0,0,0,0,0,0
image_907,0,0,0,0,0,0,4,0,0,0,0,0
image_6384,0,0,0,0,0,0,0,4,0,0,0,0
image_2377,0,0,0,0,0,0,0,0,4,0,0,0
image_3796,0,2,0,0,0,0,0,0,0,4,0,0
image_155,0,0,0,0,4,0,0,0,0,0,4,0
image_4538,0,2,0,0,0,0,0,0,0,0,0,4
