,image_8500,image_64,image_8731,image_5522,image_9931,image_9502,image_4052,image_6941,image_771,image_4109,image_1402,image_6891,image_4300,image_3519,image_8479,image_8533,image_6516,image_2492,image_5136,image_4868,image_6320,image_191,image_466,image_1138,image_1312,image_1992,image_8509
image_8500,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_64,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8731,0,0,4,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
image_5522,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
image_9931,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9502,2,2,2,3,0,4,0,0,3,3,2,1,1,0,0,0,0,2,4,4,2,0,2,2,0,0,2
image_4052,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
image_6941,2,3,0,3,0,0,0,4,3,3,1,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0
image_771,0,0,1,0,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4109,0,0,1,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1402,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
image_6891,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4300,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3519,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8479,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_8533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2492,0,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_5136,0,0,1,1,0,4,1,3,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
image_4868,0,0,1,1,0,4,1,3,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0
image_6320,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0
image_191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,0,0,0,0
image_466,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0
image_1138,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_8509,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
