,image_2617,image_7642,image_8283,image_9960,image_752,image_5786,image_3332,image_1398,image_9409,image_4123,image_8992,image_8261,image_7483,image_142,image_501
image_2617,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7642,1,4,0,1,0,0,0,0,0,0,0,0,1,1,0
image_8283,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_9960,0,1,0,4,0,0,0,0,0,0,0,0,2,2,0
image_752,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
image_5786,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3332,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1398,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1
image_9409,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1
image_4123,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8992,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_8261,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_7483,0,1,0,2,0,0,0,0,1,0,0,0,4,0,1
image_142,0,1,0,2,1,0,0,1,1,0,0,0,0,4,1
image_501,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4
