,image_8409,image_6784,image_8793,image_7313,image_2227,image_5344,image_2472,image_1639,image_921,image_9696,image_1038,image_6139,image_7947,image_1688,image_3266,image_3498,image_2682,image_2333,image_639,image_2329,image_7040,image_4063,image_5773,image_9276,image_923,image_828
image_8409,4,0,0,0,0,3,2,3,3,3,4,1,2,0,0,1,4,4,1,4,4,1,0,0,1,0
image_6784,0,4,0,0,0,3,2,3,3,3,4,1,3,1,0,0,4,4,2,4,3,1,0,0,1,0
image_8793,0,0,4,0,0,3,2,3,3,3,4,1,2,0,0,1,4,4,1,4,4,1,0,0,2,1
image_7313,0,0,0,4,0,3,2,4,4,4,4,1,2,0,0,1,4,4,1,4,4,1,0,0,2,1
image_2227,0,0,0,0,4,3,2,3,3,3,4,1,2,0,0,1,4,4,1,4,4,1,0,0,2,1
image_5344,3,3,3,3,3,4,0,0,0,0,4,1,3,0,0,0,4,4,1,4,4,0,0,0,1,0
image_2472,2,2,2,2,2,0,4,0,0,0,2,1,3,0,0,0,3,3,4,3,2,2,0,0,2,0
image_1639,3,3,3,4,3,0,0,4,0,0,4,1,3,0,0,0,4,4,1,4,4,0,0,0,1,0
image_921,3,3,3,4,3,0,0,0,4,0,4,1,3,0,0,0,4,4,1,4,4,0,0,0,1,0
image_9696,3,3,3,4,3,0,0,0,0,4,4,1,3,0,0,0,4,4,1,4,4,0,0,0,1,0
image_1038,4,4,4,4,4,4,2,4,4,4,4,0,2,0,0,1,4,4,1,4,4,1,0,0,2,1
image_6139,1,1,1,1,1,1,1,1,1,1,0,4,0,0,0,0,2,2,0,2,1,0,0,0,0,0
image_7947,2,3,2,2,2,3,3,3,3,3,2,0,4,0,0,0,3,3,3,3,3,2,1,1,3,0
image_1688,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,1,1,0
image_3266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0
image_3498,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2682,4,4,4,4,4,4,3,4,4,4,4,2,3,0,0,0,4,4,2,4,3,0,0,0,0,0
image_2333,4,4,4,4,4,4,3,4,4,4,4,2,3,0,0,0,4,4,0,4,3,1,0,0,0,2
image_639,1,2,1,1,1,1,4,1,1,1,1,0,3,0,0,0,2,0,4,3,3,2,1,0,3,1
image_2329,4,4,4,4,4,4,3,4,4,4,4,2,3,0,0,0,4,4,3,4,0,2,0,0,3,0
image_7040,4,3,4,4,4,4,2,4,4,4,4,1,3,0,0,0,3,3,3,0,4,1,0,0,0,0
image_4063,1,1,1,1,1,0,2,0,0,0,1,0,2,3,2,0,0,1,2,2,1,4,0,0,3,0
image_5773,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,2,0
image_9276,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0
image_923,1,1,2,2,2,1,2,1,1,1,2,0,3,1,0,0,0,0,3,3,0,3,2,1,4,0
image_828,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4
