,image_644,image_6225,image_7375,image_3111,image_3986,image_556,image_9873,image_2954,image_7789,image_1719,image_2750,image_4289,image_5135,image_7965,image_4049
image_644,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6225,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0
image_7375,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3111,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_3986,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_556,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9873,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
image_2954,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
image_7789,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
image_1719,0,0,0,0,0,0,2,0,1,4,2,0,0,0,0
image_2750,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0
image_4289,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_5135,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_7965,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
