article_number,image number,alt,article_heading
1,1,Nick Pickles,X global affairs boss Nick Pickles is latest top exec to leave after decade with company
1,2,X logo,X global affairs boss Nick Pickles is latest top exec to leave after decade with company
1,3,X CEO Linda Yaccarino,X global affairs boss Nick Pickles is latest top exec to leave after decade with company
2,1,Hannah Lynch is survived by her mother and a sister.,Hewlett Packard boss cites ‘fiduciary duty’ to pursue lawsuit against Mike Lynch’s estate after yacht drowning
2,2,Lynch and his daughter Hannah 18 were among seven who perished.,Hewlett Packard boss cites ‘fiduciary duty’ to pursue lawsuit against Mike Lynch’s estate after yacht drowning
2,3,Mike Lynch the billionaire British tech mogul died at the age of 59 on Aug. 19 when his yacht ran aground off the coast of Sicily.,Hewlett Packard boss cites ‘fiduciary duty’ to pursue lawsuit against Mike Lynch’s estate after yacht drowning
2,4,The Bayesian superyacht sank off the coast of Sicily just before dawn on Aug. 19.,Hewlett Packard boss cites ‘fiduciary duty’ to pursue lawsuit against Mike Lynch’s estate after yacht drowning
2,5,Hannah Lynch's body is recovered by rescue personnel off the coast of Sicily on Aug. 23.,Hewlett Packard boss cites ‘fiduciary duty’ to pursue lawsuit against Mike Lynch’s estate after yacht drowning
3,1,Disney cruise ship,Leaked Disney data from hacking scandal includes company secrets internal Slack messages and revenue figures: report
3,2,Person wearing hoodie looking at laptop,Leaked Disney data from hacking scandal includes company secrets internal Slack messages and revenue figures: report
3,3,Hackers got their hands on internal spreadsheets that listed revenue figures for Disney+ according to a report.,Leaked Disney data from hacking scandal includes company secrets internal Slack messages and revenue figures: report
4,1,A roborock Q Revo robot vacuum cleaner next to a phone,3 Roborock vacuums from budget to high-end — Read our honest review
5,1,An editorial in The Washington Post criticized the Brazilian government for banning X.,Elon Musk gets surprising defender after X banned in Brazil: The Washington Post
6,1,,Meta Oversight Board members have blasted Israel over Gaza: ‘Most criminal army in history’
6,2,Tawakkol Karman,Meta Oversight Board members have blasted Israel over Gaza: ‘Most criminal army in history’
6,3,Social media post from member of Meta Oversight Board,Meta Oversight Board members have blasted Israel over Gaza: ‘Most criminal army in history’
6,4,Nighat Dad,Meta Oversight Board members have blasted Israel over Gaza: ‘Most criminal army in history’
6,5,Tawakkol Karman,Meta Oversight Board members have blasted Israel over Gaza: ‘Most criminal army in history’
6,6,Social media post from member of Meta Oversight Board,Meta Oversight Board members have blasted Israel over Gaza: ‘Most criminal army in history’
7,1,,OpenAI could reportedly charge as much as $2K a month for high-end subscriptions
8,1,The image above was taken just after the gunman opened fire on Wednesday.,X blocks users from searching name of alleged Apalachee High School gunman Colt Gray
8,2,The shooter's gun on the school's floor,X blocks users from searching name of alleged Apalachee High School gunman Colt Gray
8,3,An X search of the name of the gunman alleged to have killed four people and wounded nine in Georgia on Wednesday produces an error page.,X blocks users from searching name of alleged Apalachee High School gunman Colt Gray
8,4,The alleged assailant has been identified by authorities as Colt Gray a 14-year-old student at the school.,X blocks users from searching name of alleged Apalachee High School gunman Colt Gray
9,1,Snapchat app on phone,Snapchat favored by child predators who use ‘sextortion’ to get explicit images of minors: lawsuit
9,2,New Mexico Attorney General Raúl Torrez announced a lawsuit against Snapchat parent company Snap.,Snapchat favored by child predators who use ‘sextortion’ to get explicit images of minors: lawsuit
9,3,Tech firms have come under fire for failing to protect minors against online predators.,Snapchat favored by child predators who use ‘sextortion’ to get explicit images of minors: lawsuit
10,1,A screen for your phone to protect against blue light,Do cellphones increase the risk of heart disease? Troubling findings require ‘careful consideration’ researchers say
10,2,A phone with a purple screen,Do cellphones increase the risk of heart disease? Troubling findings require ‘careful consideration’ researchers say
10,3,A phone that has a protective screen,Do cellphones increase the risk of heart disease? Troubling findings require ‘careful consideration’ researchers say
10,4,Cellphone use can lead to poor sleep which can raise the risk of heart disease researchers found.,Do cellphones increase the risk of heart disease? Troubling findings require ‘careful consideration’ researchers say
