,image_8333,image_3318,image_4220,image_463,image_922,image_891,image_8103,image_8774,image_5296,image_3859,image_5110,image_7267,image_8906,image_4018,image_1213
image_8333,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0
image_3318,0,4,0,0,0,0,3,2,0,1,0,0,0,0,0
image_4220,0,0,4,0,0,0,0,0,1,0,2,0,0,3,2
image_463,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0
image_922,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
image_891,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_8103,0,3,0,0,0,0,4,2,0,2,0,0,0,0,0
image_8774,0,2,0,0,0,0,2,4,0,2,0,0,0,0,0
image_5296,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0
image_3859,0,1,0,0,0,0,2,2,0,4,0,0,0,0,0
image_5110,1,0,2,2,0,0,0,0,0,0,4,1,0,3,2
image_7267,0,0,0,0,0,0,0,0,1,0,1,4,0,2,2
image_8906,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
image_4018,2,0,3,0,1,0,0,0,0,0,3,2,1,4,0
image_1213,0,0,2,0,0,0,0,0,0,0,2,2,1,0,4
