article_number,image number,alt,article_heading
1,1,A dog waits to be blessed during the celebration for the feast of Saint Anthony patron saint of animals in Madrid on January 17 2010,Some Dogs Can Remember Names of Their Toys — Years After Not Seeing Them New Study Suggests
1,2,Dogs playing with toys,Some Dogs Can Remember Names of Their Toys — Years After Not Seeing Them New Study Suggests
1,3,Dogs playing with toys,Some Dogs Can Remember Names of Their Toys — Years After Not Seeing Them New Study Suggests
2,1,9.16.24 Smile Airport LLamas,Portland Airport Offers Emotional Support Llamas Bringing ‘Pure Joy’ to Travelers
3,1,Zoey Hawkins,4-Year-Old Girl Killed by Family's Pit Bull Inside California Home: ‘Heart-Wrenching Event’
3,2,Zoey Hawkins,4-Year-Old Girl Killed by Family's Pit Bull Inside California Home: ‘Heart-Wrenching Event’
4,1,alligator,7-Foot Alligator Bites 84-Year-Old Woman Walking Her Dog in Florida: 'She's Lucky She Didn't Lose Her Life'
5,1,Carson Steele Pet Alligator,Chiefs Player Carson Steele Has a Pet Alligator Named Crocky-J and NFL Fans Are in Love
5,2,Carson Steele #42 of the Kansas City Chiefs warms up before a preseason game against the Jacksonville Jaguars at EverBank Stadium on August 10 2024,Chiefs Player Carson Steele Has a Pet Alligator Named Crocky-J and NFL Fans Are in Love
6,1,13-Foot Python Seized from N.Y. Home After Owner Admits He Wasnât Prepared for How Fast Snake Would Grow,13-Foot Python Seized from N.Y. Home After Owner Admits He Wasn’t Prepared for How Fast Snake Would Grow
7,1,Missing Dog Bear Reunited with Family ,Missing Dog Reunited with Military Family After 2 Years: 'In Shock That This Is Him'
7,2,Missing Dog Bear Reunited with Family,Missing Dog Reunited with Military Family After 2 Years: 'In Shock That This Is Him'
7,3,Missing Dog Bear Reunited with Family,Missing Dog Reunited with Military Family After 2 Years: 'In Shock That This Is Him'
8,1,Beacon the therapy dog,Beacon USA Gymnastics Team Therapy Dog Hospitalized with Stiffness Labored Breathing and Fever 
8,2,Beacon the therapy dog,Beacon USA Gymnastics Team Therapy Dog Hospitalized with Stiffness Labored Breathing and Fever 
9,1,In this photo taken in April 2019 a beluga whale found in Arctic Norway is feeded. Norwegian authorities say that a beluga whale first spotted in Arctic Norway in 2019 with an apparent Russian-made harness and alleged to have come from a Russian military facility has been spotted off Sweden's west coast.,Beluga Whale Alleged to be a Russian ‘Spy’ May Have Been Killed by Gunshot Wounds Animal Rights Groups Say
9,2,In this photo taken in April 2019 a beluga whale found in Arctic Norway swims next to a vessel. Norwegian authorities say that a beluga whale first spotted in Arctic Norway in 2019 with an apparent Russian-made harness and alleged to have come from a Russian military facility has been spotted off Sweden's west coast.,Beluga Whale Alleged to be a Russian ‘Spy’ May Have Been Killed by Gunshot Wounds Animal Rights Groups Say
10,1,Mountain Lion,5-Year-Old Suffers ‘Significant’ Injuries After Mountain Lion Attack at Popular California State Park 
10,2,Malibu Creek State Park,5-Year-Old Suffers ‘Significant’ Injuries After Mountain Lion Attack at Popular California State Park 
