,image_2439,image_3501,image_9819,image_9739,image_8452,image_9213,image_6656,image_3345,image_2409,image_3068,image_1790,image_8537,image_6568,image_9855
image_2439,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3501,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_9819,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9739,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_8452,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9213,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_6656,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_3345,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_2409,0,0,0,0,0,0,0,0,4,0,0,1,0,0
image_3068,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_1790,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_8537,0,0,0,0,0,0,0,0,1,0,0,4,0,0
image_6568,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9855,0,0,0,0,0,0,0,0,0,0,0,0,0,4
