image number,alt,article_heading
image_1_1.jpg,no alt text,How Helene became a ‘worst case scenario’
image_2_1.jpg,no alt text,Britain ditched coal. Here’s what the world can learn from it.
image_3_1.jpg,no alt text,See how Helene dwarfs other hurricanes that have hit the Gulf Coast
image_4_1.jpg,no alt text,The disaster no major U.S. city is prepared for
image_5_1.jpg,no alt text,The world is burning an alarming amount of plastic scientists say
image_6_1.jpg,no alt text,Where mosquito season is getting longer
image_7_1.jpg,no alt text,Summer or winter: Which season is warming faster in your town?
image_8_1.jpg,no alt text,What you can learn about salmon from its packaging
image_9_1.jpg,no alt text,How fracking could unlock a clean energy future
image_10_1.jpg,no alt text,We mapped weather forecast accuracy across the U.S. Look up your city.
