article_number,image number,alt,article_heading,article_url
1,1,Ile kosztuje mycie i sprzątanie grobu?,"Tyle zarabia się na sprzątaniu grobów. Zainteresowanie jest ogromne""""",https://finanse.wp.pl/tyle-zarabia-sie-na-sprzataniu-grobow-zainteresowanie-jest-ogromne-7078054761774048a
2,1,Bogaty jak polski rolnik? GUS: zarabiają 5.5 thousand. zł na hektarze,Zarabiają 175 tys. zł rocznie? Rolnicy oburzeni po ujawnieniu danych GUS,https://finanse.wp.pl/zarabiaja-175-tys-zl-rocznie-rolnicy-oburzeni-po-ujawnieniu-danych-gus-7077312699497408a
2,2,dochody rolników,Zarabiają 175 tys. zł rocznie? Rolnicy oburzeni po ujawnieniu danych GUS,https://finanse.wp.pl/zarabiaja-175-tys-zl-rocznie-rolnicy-oburzeni-po-ujawnieniu-danych-gus-7077312699497408a
3,1,Czyszczenie zębów z kamienia również na NFZ,Price: 400 zł. Na NFZ ten zabieg jest za darmo,https://finanse.wp.pl/prywatnie-wydasz-400-zl-na-nfz-ten-zabieg-jest-za-darmo-7077974629325760a
4,1,UOKiK wykrył niebezpieczne chemikalia m.in. w ubraniach pościeli i obuwiu,Niebezpieczne chemikalia w ubraniach. Niepokojące wyniki badań,https://finanse.wp.pl/niebezpieczne-chemikalia-w-ubraniach-niepokojace-wyniki-badan-7078002409442240a
5,1,Steve Jobs miał skłonność odwlekania podejmowania decyzji,Wybitnie intelligentni. 4 nieoczywiste cechy osób z wysokim IQ,https://finanse.wp.pl/niezwykle-cechy-inteligentnych-ludzi-prokrastynacja-i-pozne-wstawanie-7078128899353568a
6,1,Gdzie wyrzucić opakowanie po mięsie?,Gdzie wyrzucić opakowanie po mięsie? Niektórzy robią to źle,https://finanse.wp.pl/gdzie-wyrzucic-opakowanie-po-miesie-niektorzy-robia-to-zle-7078111252437121a
7,1,Obowiązują nowe stawki za pobyt w sanatoriach,Tańszy pobyt w sanatorium. Oto nowe stawki,https://finanse.wp.pl/tanszy-pobyt-w-sanatorium-oto-nowe-stawki-7078105707162592a
8,1,Problemy z odbiorem zakupów w Aldi w Niemczech,Zamiast z zakupami wychodzą z pustymi rękoma. Kłopot Niemcow,https://finanse.wp.pl/niemcy-nie-moga-odebrac-zakupow-problem-w-duzej-sieci-handlowej-7078066453363648a
9,1,Zmiany w zakazie handlu na terenach dotkniętych przez powódź,W te niedziele sklepy będą otwarte. Zmiany dla kilku województw,https://finanse.wp.pl/w-te-niedziele-sklepy-beda-otwarte-zmiany-dla-kilku-wojewodztw-7078054499150784a
10,1,Platforma morskiej farmy wiatrowej Baltic Power w okolicach Lubiatowa,Wiatraki na Bałtyku. Wykonano pierwszy odwiert,https://finanse.wp.pl/wiatraki-na-baltyku-wykonano-pierwszy-odwiert-7078039010216896a
