,image_3527,image_8454,image_8424,image_2506,image_3042,image_105,image_1335,image_3430,image_6869,image_4796,image_4260,image_664,image_5705,image_8756,image_1010,image_3720,image_8987,image_7933,image_4502,image_4514,image_4363
image_3527,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8454,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
image_8424,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
image_2506,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3042,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_105,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1335,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3430,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6869,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4796,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0
image_4260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_664,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
image_5705,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
image_8756,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0
image_1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8987,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
image_7933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
image_4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
