,image_310,image_4914,image_5539,image_1287,image_3276,image_9257,image_4913,image_9965,image_6146,image_2228,image_2273,image_8201,image_443,image_6644,image_3610
image_310,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0
image_4914,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5539,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1287,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0
image_3276,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0
image_9257,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
image_4913,0,0,0,1,0,0,4,0,0,0,1,0,0,3,0
image_9965,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_6146,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_2228,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_2273,0,0,0,0,2,1,1,0,0,0,4,0,0,0,0
image_8201,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_443,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_6644,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0
image_3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
