article_number,image number,alt,article_heading
1,1,Tropical Storm Leslie is forecast to continue moving west through Thursday night following by a slightly faster west-northwestward motion Friday through Saturday.,Tropical Storm Leslie tracker: System expected to become hurricane in a few days
2,1,Hurricane Kirk and Tropical Storm Leslie 11 a.m. Oct. 3 2024.,Hurricane Kirk expected to strengthen to Category 4 storm. Will Florida feel any impacts?
2,2,,Hurricane Kirk expected to strengthen to Category 4 storm. Will Florida feel any impacts?
2,3,,Hurricane Kirk expected to strengthen to Category 4 storm. Will Florida feel any impacts?
2,4,Hurricane Kirk 11 a.m. Oct. 3 2024.,Hurricane Kirk expected to strengthen to Category 4 storm. Will Florida feel any impacts?
3,1,no alt text,Roller coaster temperatures bring near-record summer-like heat back to Kansas City
4,1,no alt text,Hundreds of 911 calls poured in during Hurricane Helene in Lee Collier counties
5,1,no alt text,System in Caribbean might not form but Florida could still feel its heavy rains
6,1,Carolyn and Clifford Coffee at their home in Meat Camp North Carolina. Officials say homes set between steep Appalachian hillsides and along creeks which make them vulnerable to landslides and flooding also pose challenges for recovery and rebuilding.,So many hollers': Boone area's remote terrain slows recovery from Helene
6,2,Carolyn and Clifford Coffee at their home in Meat Camp North Carolina. Officials say homes set between steep Appalachian hillsides and along creeks which make them vulnerable to landslides and flooding also pose challenges for recovery and rebuilding.,So many hollers': Boone area's remote terrain slows recovery from Helene
6,3,Carolyn and Clifford Coffee at their home in Meat Camp North Carolina. Officials say homes set between steep Appalachian hillsides and along creeks which make them vulnerable to landslides and flooding also pose challenges for recovery and rebuilding.,So many hollers': Boone area's remote terrain slows recovery from Helene
7,1,,Florida could see heavy rain from tropical system in Gulf of Mexico. What to know
7,2,Tropical rainfall possible across Central and South Florida early next week.,Florida could see heavy rain from tropical system in Gulf of Mexico. What to know
7,3,Tropical scenarios possible next week.,Florida could see heavy rain from tropical system in Gulf of Mexico. What to know
8,1,,Wind shear to work against the development of tropical system moving into Gulf of Mexico
8,2,no alt text,Wind shear to work against the development of tropical system moving into Gulf of Mexico
9,1,,Record temperatures around New Mexico
10,1,no alt text,Temperatures rain severe storms: Explore Austin’s 2024 weather data
