,image_1159,image_7276,image_1587,image_1805,image_8296,image_2673,image_4771,image_9676,image_7785,image_3167,image_3743,image_150
image_1159,4,0,0,0,0,0,0,0,0,0,0,0
image_7276,0,4,0,0,0,1,0,0,0,0,0,0
image_1587,0,0,4,0,0,2,0,0,0,0,0,0
image_1805,0,0,0,4,0,0,0,0,0,0,0,0
image_8296,0,0,0,0,4,0,0,0,0,0,0,0
image_2673,0,1,2,0,0,4,0,0,0,0,0,0
image_4771,0,0,0,0,0,0,4,0,0,0,0,0
image_9676,0,0,0,0,0,0,0,4,0,0,0,0
image_7785,0,0,0,0,0,0,0,0,4,0,0,0
image_3167,0,0,0,0,0,0,0,0,0,4,0,0
image_3743,0,0,0,0,0,0,0,0,0,0,4,0
image_150,0,0,0,0,0,0,0,0,0,0,0,4
