article_number,image number,alt,article_heading,article_url
1,1,Opportunistic traders have entered the oil market,Opportunistic traders have entered the oil market,https://finance.rambler.ru/economics/53531131-na-neftyanoy-rynok-prishli-treydery-opportunisty/
2,1,SUP sales jump in Russia,SUP board sales jump in Russia,https://finance.rambler.ru/economics/53523477-v-rossii-podskochili-prodazhi-sapbordov/
3,1,Oil prices rise to record highs amid Middle East crisis,Oil prices rise to record high on Middle East crisis,https://finance.rambler.ru/economics/53529693-neft-rekordno-rastet-v-tsene-iz-za-blizhnevostochnogo-krizisa/
4,1,Economist explains why the IMF is rushing into Russia despite sanctions,Economist explains why the IMF is rushing into Russia despite sanctions,https://finance.rambler.ru/economics/53528599-ekonomist-rasskazala-zachem-mvf-rvetsya-v-rossiyu-nevziraya-na-sanktsii/
5,1,Robert Kiyosaki Calls for Buying Bitcoin,"Robert Kiyosaki Calls for Buying Bitcoin. He Calls Regular Money ""Fake""",https://finance.rambler.ru/economics/53528321-robert-kiyosaki-prizval-skupat-bitkoin-obychnye-dengi-on-nazval-falshivymi/
6,1,It has become known where Russia exports the most pork,It has become known where Russia exports the most pork,https://finance.rambler.ru/economics/53528162-stalo-izvestno-kuda-rossiya-eksportiruet-bolshe-vsego-svininy/
7,1,Kazakhstan asks Russia for clarification on grain supplies,Kazakhstan asks Russia for clarification after request to suspend grain supplies,https://finance.rambler.ru/economics/53518588-kazahstan-zaprosil-u-rf-razyasneniy-posle-prosby-priostanovit-postavki-zerna/#rcmrclid=d5c00ef20b0582cc
8,1,The leader in purchasing Russian grain has been named,The leader in purchasing Russian grain has been named,https://finance.rambler.ru/economics/53524847-nazvan-lider-po-zakupkam-rossiyskogo-zerna/
9,1,Analyst predicts how much the key rate will increase,Analyst predicts how much the key rate will increase,https://finance.rambler.ru/economics/53521552-analitik-sprognoziroval-na-skolko-vyrastet-klyuchevaya-stavka/
10,1,The volume of Russia's National Welfare Fund increased sharply in September,The volume of Russia's National Welfare Fund increased sharply in September,https://finance.rambler.ru/economics/53521235-obem-fnb-rossii-rezko-uvelichilsya-v-sentyabre/
