article_number,image number,alt,article_heading,article_url
1,1,CHONGQING CHINA - OCTOBER 3: People observe the scenery near Chinese national flags displayed for National Day celebrations on October 3 2024 in Chongqing China. National Day Golden Week is a holiday in China commemorates the founding of the People's Republic of China in 1949. (Photo by Cheng Xin/Getty Images),China-linked security breach targeted U.S. wiretap systems WSJ reports,https://www.cnbc.com/2024/10/05/china-linked-security-breach-targeted-us-wiretap-systems-wsj-reports.html
2,1,LONDON UNITED KINGDOM - SEPTEMBER 20: A view of Apple's new iPhone 16 at an Apple Store on the Regent Street in London United Kingdom on September 20 2024. (Photo by Rasid Necati Aslim/Anadolu via Getty Images),As Apple enters AI race iPhone maker turns to its army of developers for an edge,https://www.cnbc.com/2024/10/04/apple-is-turning-to-its-army-of-developers-for-an-edge-in-the-ai-race.html
2,2,Apple Intelligence photos,As Apple enters AI race iPhone maker turns to its army of developers for an edge,https://www.cnbc.com/2024/10/04/apple-is-turning-to-its-army-of-developers-for-an-edge-in-the-ai-race.html
3,1,NEW YORK NEW YORK - SEPTEMBER 19:  Traders work on the floor of the New York Stock Exchange (NYSE) on September 19 2024 in New York City. Stocks surged over 500 points  after the Federal Reserve enacted its first interest rate cut of half a percentage point off benchmark rates.  (Photo by Spencer Platt/Getty Images),Thursday’s big stock stories: What’s likely to move the market in the next trading session,https://www.cnbc.com/2024/10/02/thursdays-big-stock-stories-whats-likely-to-move-the-market.html
4,1,In this photo illustration OpenAI icon is displayed on a mobile phone screen with the photo of Sam Altman chief executive officer of OpenAI in Ankara Turkiye on August 13 2024.,OpenAI gets $4 billion revolving credit line giving it more than $10 billion in liquidity,https://www.cnbc.com/2024/10/03/openai-gets-4-billion-revolving-credit-line-on-top-of-latest-funding.html
5,1,25 September 2024 USA Menlo Park: At the Meta Connect developer conference Mark Zuckerberg head of the Facebook group Meta shows the prototype of computer glasses that can display digital objects in transparent lenses. Photo: Andrej Sokolow/dpa (Photo by Andrej Sokolow/picture alliance via Getty Images),Mark Zuckerberg is now world’s second-richest person ahead of Jeff Bezos,https://www.cnbc.com/2024/10/03/mark-zuckerberg-passes-jeff-bezos-as-worlds-second-richest-person.html
6,1,Microsoft Chief Executive Satya Nadella speaks at the company's annual developer conference in Seattle Washington U.S. May 21 2024. REUTERS/Max Cherney,Microsoft’s new Windows 11 update comes with energy use and Wi-Fi enhancements,https://www.cnbc.com/2024/10/01/microsoft-starts-rolling-out-windows-11-2024-update-version-24h2.html
6,2,Microsoft provides new file compression options out of the box in version 24H2 of Windows 11.,Microsoft’s new Windows 11 update comes with energy use and Wi-Fi enhancements,https://www.cnbc.com/2024/10/01/microsoft-starts-rolling-out-windows-11-2024-update-version-24h2.html
7,1,BRUSSELS BELGIUM - JUNE 17: Indian Minister of Commerce and Industry Consumer Affairs Food and Public Distribution and Textiles Shri Piyush Goyal is talking to media on EU-India trade relations. India will waive tariffs on industrial imports from four European nations for a $100 billion investment over 15 years ending nearly 16 years of negotiations.,India to fabricate its first chip in two years as Nvidia AMD and Micron pledge to expand to the country,https://www.cnbc.com/2024/10/01/india-to-fabricate-its-first-chip-in-two-years-as-companies-pledge-to-expand-in-the-country.html
8,1,Dish's Charles Ergen,EchoStar’s Dish sale marks disappointing end to Charlie Ergen’s ‘Seinfeld’ strategy,https://www.cnbc.com/2024/09/30/echostars-dish-sale-marks-disappointing-end-to-ergens-strategy-.html
9,1,Hamid Akhavan EchoStar CEO speaking on CNBC's Squawk on the Street on Sept. 30 2024.,EchoStar to sell Dish to DirecTV combining major pay-TV providers,https://www.cnbc.com/2024/09/30/echostar-to-sell-dish-to-directv-combining-major-pay-tv-providers.html
10,1,Sam Altman chief executive officer of OpenAI at the Hope Global Forums annual meeting in Atlanta Georgia US on Monday Dec. 11 2023. The meeting includes over 5200 delegates representing 40 countries aiming to reimagine the global economy so the benefits and opportunities of free enterprise are extended to everyone. Photographer: Dustin Chambers/Bloomberg via Getty Images,OpenAI sees roughly $5 billion loss this year on $3.7 billion in revenue,https://www.cnbc.com/2024/09/27/openai-sees-5-billion-loss-this-year-on-3point7-billion-in-revenue.html
