,image_2615,image_5304,image_4596,image_9220,image_2963,image_813,image_1124,image_2407,image_9492,image_7161,image_1966,image_7939,image_3842,image_7857
image_2615,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5304,0,4,0,0,0,0,3,0,0,0,0,0,0,0
image_4596,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9220,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2963,0,0,0,0,4,0,2,0,0,0,0,0,4,0
image_813,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_1124,0,3,0,0,2,0,4,0,2,0,0,0,0,0
image_2407,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_9492,0,0,0,0,0,0,2,0,4,0,0,0,0,0
image_7161,0,0,0,0,0,0,0,0,0,4,0,0,0,1
image_1966,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_7939,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_3842,0,0,0,0,4,0,0,0,0,0,0,0,4,0
image_7857,0,0,0,0,0,0,0,0,0,1,0,0,0,4
