,image_1711,image_5763,image_3770,image_2340,image_3806,image_4790,image_5051,image_7462,image_292,image_1636,image_3034,image_4956
image_1711,4,0,2,0,0,0,0,0,0,0,0,0
image_5763,0,4,0,0,0,0,0,0,1,0,1,0
image_3770,2,0,4,0,0,0,0,0,0,0,0,0
image_2340,0,0,0,4,0,0,0,0,0,0,0,0
image_3806,0,0,0,0,4,0,0,0,0,0,0,0
image_4790,0,0,0,0,0,4,0,0,0,0,0,0
image_5051,0,0,0,0,0,0,4,0,0,0,0,0
image_7462,0,0,0,0,0,0,0,4,0,0,0,0
image_292,0,1,0,0,0,0,0,0,4,0,0,0
image_1636,0,0,0,0,0,0,0,0,0,4,0,0
image_3034,0,1,0,0,0,0,0,0,0,0,4,0
image_4956,0,0,0,0,0,0,0,0,0,0,0,4
