,image_2135,image_9315,image_3004,image_852,image_8507,image_2315,image_3942,image_3985,image_1097,image_2834,image_6310,image_4634,image_1065,image_3325,image_1668,image_4948,image_7035,image_9585,image_4938,image_8892,image_3509,image_1075,image_6367
image_2135,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9315,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3004,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_852,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8507,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2315,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
image_3942,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3985,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1097,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2834,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4634,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,0,1,0,0,0,0,0
image_1065,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,2,1,2,1,0,0
image_3325,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,2,2,0,2,2,0,0
image_1668,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,2,2,2,3,3,0,0
image_4948,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,2,3,2,3,3,0,0
image_7035,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,2,4,0,4,3,3,0,0
image_9585,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,0,4,2,2,2,0,0
image_4938,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,2,4,0,0,0,0
image_8892,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,2,0,4,0,0,0
image_3509,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,2,0,0,4,0,0
image_1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_6367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
