,image_1_1,image_2_1,image_3_1,image_4_1,image_4_2,image_4_3,image_5_1,image_5_2,image_6_1,image_6_2,image_7_1,image_8_1,image_8_2,image_9_1,image_10_1
image_1_1,4,0,4,0,0,0,0,0,4,4,0,0,3,0,0
image_2_1,0,4,0,4,4,4,4,0,0,0,2,4,0,4,0
image_3_1,4,0,4,0,0,0,0,0,4,4,0,0,4,0,2
image_4_1,0,4,0,4,0,0,4,2,0,0,2,4,0,4,2
image_4_2,0,4,0,0,4,0,4,2,0,0,2,4,0,4,2
image_4_3,0,4,0,0,0,4,4,2,0,0,2,4,0,4,0
image_5_1,0,4,0,4,4,4,4,0,0,0,0,4,0,4,0
image_5_2,0,0,0,2,2,2,0,4,0,0,0,4,0,4,0
image_6_1,4,0,4,0,0,0,0,0,4,0,0,0,2,0,0
image_6_2,4,0,4,0,0,0,0,0,0,4,0,0,2,0,0
image_7_1,0,2,0,2,2,2,0,0,0,0,4,4,3,4,0
image_8_1,0,4,0,4,4,4,4,4,0,0,4,4,0,4,0
image_8_2,3,0,4,0,0,0,0,0,2,2,3,0,4,2,2
image_9_1,0,4,0,4,4,4,4,4,0,0,4,4,2,4,2
image_10_1,0,0,2,2,2,0,0,0,0,0,0,0,2,2,4
