,image_7681,image_1483,image_436,image_9515,image_3270,image_6316,image_6265,image_4443,image_6657,image_1428,image_3332,image_9400,image_473
image_7681,4,0,4,4,2,2,0,4,2,0,0,0,0
image_1483,0,4,0,0,0,0,0,0,0,0,0,0,0
image_436,4,0,4,4,2,2,0,4,2,0,0,0,0
image_9515,4,0,4,4,0,0,0,0,0,0,0,0,0
image_3270,2,0,2,0,4,0,0,2,1,0,0,0,0
image_6316,2,0,2,0,0,4,0,2,2,0,0,0,0
image_6265,0,0,0,0,0,0,4,0,0,0,0,1,0
image_4443,4,0,4,0,2,2,0,4,0,0,0,0,0
image_6657,2,0,2,0,1,2,0,0,4,0,0,0,0
image_1428,0,0,0,0,0,0,0,0,0,4,0,0,0
image_3332,0,0,0,0,0,0,0,0,0,0,4,2,0
image_9400,0,0,0,0,0,0,1,0,0,0,2,4,0
image_473,0,0,0,0,0,0,0,0,0,0,0,0,4
