article_number,image number,alt,article_heading
1,1,Major domestic and international illegal webtoon sites (Site Galmuri),“100 million people read webtoons illegally”… K-webtoons are struggling on pirate sites
1,2,Naver Webtoon Toon Radar Logo (provided by Naver Webtoon),“100 million people read webtoons illegally”… K-webtoons are struggling on pirate sites
1,3,Kakao Entertainment Worldwide Illegal Distribution Site Crackdown Status (provided by Kakao Entertainment),“100 million people read webtoons illegally”… K-webtoons are struggling on pirate sites
1,4,Kakao Entertainment 5th Illegal Distribution Response White Paper Key Achievements (provided by Kakao Entertainment),“100 million people read webtoons illegally”… K-webtoons are struggling on pirate sites
2,1,,Geonhaeng… Coupang Play releases video guide for ticket sales for charity soccer match introduced by Lim Young-woong
3,1,,There is no preventive vaccine… Tick-borne infectious diseases that you should be careful of when visiting ancestors’ graves during Chuseok
4,1,ⓒ News1 DB,[100 Year Health] Chuseok Songpyeon May Be a 'Piece in the Sky' for This Patient
4,2,ⓒ News1 Designer Kim Cho-hee,[100 Year Health] Chuseok Songpyeon May Be a 'Piece in the Sky' for This Patient
5,1,SK Telecom's Pass Spam Filtering Service. (Provided by SK Telecom),“Blocking illegal Chuseok spam at its source”… 3 telecommunications companies do their best to prevent damage
5,2,KT's service that automatically blocks spam using AI. (Provided by KT),“Blocking illegal Chuseok spam at its source”… 3 telecommunications companies do their best to prevent damage
6,1,/Photo = Getty Images Bank,“Pay the fine for illegal dumping”… Should I click on this text? Or not?
7,1,Congressman Lee Hoon-ki giving a congratulatory speech(Incheon=Yonhap News) Reporter Im Soon-seok = Congressman Lee Hoon-ki is giving a congratulatory speech at the opening ceremony of the 5th Incheon International Ocean Forum held at Songdo Convensia in Yeonsu-gu Incheon on the morning of the 4th. 2024.7.4 soonseok02@yna.,“Last year 50000 gambling sites were blocked… The KCC’s own monitoring was minimal”
8,1,OpenAI has released a new AI model 'o1'. ChatGPT Plus or Team users can use the o1 preview version. [Photo = OpenAI],[AI Briefing] The era of AI that thinks like humans has begun
8,2,Capture video introducing OpenAI's new AI model 'o1'. [Photo = OpenAI],[AI Briefing] The era of AI that thinks like humans has begun
9,1,Yoonseok Choi Gartner Senior Partner is being interviewed by Chosun Biz. / Provided by Gartner,[Interview] Yoonseok Choi Gartner Senior Partner “If you approach the introduction of generative AI from a technical perspective you will fail… You need to analyze customers markets and profitability”
10,1,On the morning of the 4th ahead of Chuseok rice is ripening in the fields of Yeongil-eup Nam-gu Pohang-si Gyeongbuk. / News 1,[Science of Chuseok] 100 years later Chuseok will be in the middle of summer… Climate change will eliminate fall
10,2,,[Science of Chuseok] 100 years later Chuseok will be in the middle of summer… Climate change will eliminate fall
