article_number,image number,alt,article_heading
1,1,Kenyan police officers patrol in Haiti,Children among 70 killed in Haiti gang 'massacre'
1,2,People could be seen fleeing the violence on motorbikes and on foot,Children among 70 killed in Haiti gang 'massacre'
2,1,A classic British red phone box is pictured outside the Falkland Islands visitors centre in Port Stanley.,UK commitment to Falklands 'unwavering' despite Chagos deal
3,1,Raimundinha Rodrigues Da Sousa ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
3,2,A group walk from the river across sand with water bottles ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
3,3,A fire in the Amazon rainforest ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
3,4,Dorismar Luiz Baruffi,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
3,5,ZÃ© Bajaga ,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
3,6,Cracked land shows the extent of the drought in the area,'It kills everything' - Amazonâs indigenous people hit by record forest fires in Brazil
4,1,Haitian migrants seen at the back of a lorry belonging to the immigration enforcement service of the Dominican Republic,Dominican Republic 'to deport up to 10000 migrants a week'
5,1,Migrants enter Mexico at its border with Guatemala hoping to reach the US,Six migrants die after Mexico soldiers open fire
6,1,A section of Spanish galleon San JosÃ©,The fierce battle over the 'Holy Grail' of shipwrecks
6,2,Colombian scientific ship ARC âCaribeâ ,The fierce battle over the 'Holy Grail' of shipwrecks
6,3,Rodrigo Pacheco Ruiz a Mexican deep-sea diver,The fierce battle over the 'Holy Grail' of shipwrecks
6,4,âWagerâs action off Cartagenaâ by Samuel Scott,The fierce battle over the 'Holy Grail' of shipwrecks
7,1,Mexico's new President Claudia Sheinbaum raises her fist as she delivers a speech during her swearing-in ceremony at the Congress in Mexico City Mexico October 1 2024,Mexico's first female president vows 'it's time for women'
7,2,A person holds two cards with the images of Mexico's President Claudia Sheinbaum (L) and former Mexican President Andres Manuel Lopez Obrador in Mexico City's Zocalo Mexico 01 October 2024.,Mexico's first female president vows 'it's time for women'
7,3,"People attend a ceremony where Mexico's new President Claudia Sheinbaum receives the ""baton of command"" at Zocalo Square in Mexico City Mexico October 1 2024.",Mexico's first female president vows 'it's time for women'
7,4,"Mexico's new President Claudia Sheinbaum holds the ""baton of command"" during a ceremony at Zocalo Square in Mexico City Mexico October 1 2024.",Mexico's first female president vows 'it's time for women'
8,1,People cross an avenue flooded by the passage of Hurricane John in the upper part of the port of Acapulco in Guerrero Mexico 27 September 2024,Mexico counting dead from 'zombie storm' John
8,2,A woman and a man holding a baby walk barefoot on a muddy street in Acapulco Guerrero Mexico,Mexico counting dead from 'zombie storm' John
9,1,IPlayer image,How sailors say they were tricked into smuggling cocaine by a British man
9,2,Cocaine packets found on the Rich Harvest,How sailors say they were tricked into smuggling cocaine by a British man
9,3, Daniel Guerra on Rich Harvest in Salvador Brazil - 2017,How sailors say they were tricked into smuggling cocaine by a British man
9,4,Pink line,How sailors say they were tricked into smuggling cocaine by a British man
9,5,The Rich Harvest yacht pictured off the coast of Brazil in 2017,How sailors say they were tricked into smuggling cocaine by a British man
9,6,BBC Sounds image,How sailors say they were tricked into smuggling cocaine by a British man
9,7,"Daniel Guerra (L) and Rodrigo Dantas (R) with George Saul AKA ""Fox"" in Salvador Brazil - 2017",How sailors say they were tricked into smuggling cocaine by a British man
9,8,Orange line,How sailors say they were tricked into smuggling cocaine by a British man
9,9,A photo posted on George Saul's Instagram account showing him sailing,How sailors say they were tricked into smuggling cocaine by a British man
9,10,A woman looking at her mobile phone and the graphic BBC News Africa,How sailors say they were tricked into smuggling cocaine by a British man
9,11,Daniel Guerra (L) and Rodrigo Dantas (R) holding beers in 2017,How sailors say they were tricked into smuggling cocaine by a British man
10,1,Protesters in Mexico City carrying a banner commemorating the 43 missing student teachers,Families of 43 missing students in Mexico are still demanding justice
10,2,Margarito Guerrero,Families of 43 missing students in Mexico are still demanding justice
10,3, Luz MarÃ­a Telumbre,Families of 43 missing students in Mexico are still demanding justice
