,image_7850,image_2773,image_1604,image_3076,image_3114,image_6491,image_5815,image_7602,image_4212,image_7377,image_402,image_9185
image_7850,4,0,0,0,0,0,0,0,0,0,0,0
image_2773,0,4,0,0,0,0,0,0,0,0,0,0
image_1604,0,0,4,0,0,0,0,0,0,0,0,0
image_3076,0,0,0,4,0,0,0,0,0,0,0,0
image_3114,0,0,0,0,4,0,0,0,0,0,0,4
image_6491,0,0,0,0,0,4,0,0,0,0,0,0
image_5815,0,0,0,0,0,0,4,0,0,0,0,0
image_7602,0,0,0,0,0,0,0,4,0,0,0,0
image_4212,0,0,0,0,0,0,0,0,4,0,0,0
image_7377,0,0,0,0,0,0,0,0,0,4,0,0
image_402,0,0,0,0,0,0,0,0,0,0,4,0
image_9185,0,0,0,0,4,0,0,0,0,0,0,4
