article_number,image number,alt,article_heading
1,1,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October
2,1,Polres Metro Jakarta Center will launch an investigation into the management of anime companies that allegedly abuse and exploit their employees.,Korban Enterprises' policy of 'painting' shows evidence of animation what is it?
3,1,One student of SMK Dibakok another student till he fell on the motorcycle of Jakbar. Two other students involved in the ban were arrested by the police. (M Fardan/detikcom),Sick Hearts Didekati Women of Bogor Bakok Bankai
4,1,Sony Latuheru,Sosok Audie Latuheru Polisi Penerjun and Pilot yang Kini Jadi Brigjen
4,2,Sony Latuheru,Sosok Audie Latuheru Polisi Penerjun and Pilot yang Kini Jadi Brigjen
5,1,On the other hand a signal is shown that helps the driver who is carrying a sick passenger. The driver can continue his journey until he removes the oil. (dok IG @tmcpoldametro),Hello! The police and citizens should help those who are sick when they get sick.
6,1,Human skeleton found in Bogor mountains,Find out more about the human skeleton in Bogor Mountain
7,1,RS Polli has identified 2 of the 7 remains found in Tewas of Kali Bekasi. Jenazah of the deceased was handed over directly to the family. (Wild N/detikcom),Sepung Diserahkan ke Family Ini Identitas 7 Janazah di Kali Bekasi
7,2,RS Polri handed over 5 gifts of Kali Bekasi to the family.,Sepung Diserahkan ke Family Ini Identitas 7 Janazah di Kali Bekasi
8,1,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak
8,2,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak
8,3,Dirbinmas Polda Metro Jaya Kombes Hariri Muharram Firmansyah giving socialization dangerous storm in Kalideres Jakarta West.,Marak Tavuran Polda Metro Minta Ortu Awasi Ketat Anak-anak
9,1,Illustration of Garis Police,Chronology Sopir Tewas Terimpit Peti Kemas Gegara Truck Patah As
10,1,The intolerance in Bekasi city was declared resolved peacefully. Pendeta Maria and ASN Pemkot Bekasi Masriwati saying sorry. (Youtube Pemkot Bekasi),Pendeta and ASN Pemkot Bekasi Saling Minta Maaf Usai Ramai Isu Intolerani
