article_number,image number,alt,article_heading,article_url
1,1,2S19 Msta gun-howitzers - illustrative photo,New Shipment of Russian 2S19 Msta-S Gun Howitzers Heads Towards Ukraine,"https://tech.wp.pl/nowy-transport-rosyjskich-armatohaubic-2s19-msta-s-zmierza-w-kierunku-ukrainy,7078153003928544a"
2,1,Footage of napalm being dropped on a Russian trench.,Napalm falls on Russian trenches. New in Ukrainian drones,"https://tech.wp.pl/na-okopy-rosjan-spada-napalm-nowosc-w-ukrainskich-dronach,7078134002523072a"
3,1,M1A2 SEPv3 Abrams,Poland is the future NATO armored power. We are close,"https://tech.wp.pl/polska-przyszla-potega-pancerna-nato-niewiele-nam-brakuje,7078143187696608a"
4,1,Israeli M113 Zelda transporter as a Trojan horse.,Israel's Trojan Horse: Hezbollah Fighters in for a Surprise,"https://tech.wp.pl/kon-trojanski-izraela-bojownikow-hezbollahu-czeka-niespodzianka,7078107667692512a"
5,1,Ukrainian drone showering a Russian tank with thermite.,Dragon Drone vs. Tank: An Unusual Showdown in Ukraine,"https://tech.wp.pl/smoczy-dron-vs-czolg-nietypowe-starcie-w-ukrainie,7078078197222368a"
6,1,Bogdan's self-propelled howitzer - illustrative photo,"They showed a new weapon. It's a modified version of Ukraine's ""artillery"" calling card","https://tech.wp.pl/pokazali-nowa-bron-to-zmieniona-wersja-ukrainskiej-wizytowki-artyleryjskiej,7078052707269568a"
7,1,Homar-K - Korean launcher on a Jelcz chassis,Polish missiles for Homar-K. We will produce our own ammunition,"https://tech.wp.pl/polskie-pociski-dla-homara-k-bedziemy-produkowac-wlasna-amunicje,7078064199916480a"
8,1,K2 tanks in the port of Gdynia - illustrative photo,"The ""Panthers"" have reached Poland. More are on their way","https://tech.wp.pl/pantery-doplynely-do-polski-w-drodze-sa-juz-kolejne,7078063820573664a"
9,1,War in Ukraine in 2023 - illustrative photo,The Russians are going to have trouble. It'll start in a few weeks,"https://tech.wp.pl/rosjanie-beda-miec-klopoty-zacznie-sie-za-kilka-tygodni,7078048092826560a"
10,1,Boeing RC-135 - illustrative photo,A giant appeared over Poland. We know where it came from,"https://tech.wp.pl/gigant-pojawil-sie-nad-polska-wiadomo-skad-przylecial,7078021868661728a"
10,2,British RC-135 reconnaissance plane,A giant appeared over Poland. We know where it came from,"https://tech.wp.pl/gigant-pojawil-sie-nad-polska-wiadomo-skad-przylecial,7078021868661728a?abtest=adtech%7CPU-335%7CB%3Badtech%7CPU-321%7CB%3Badtech%7CPRGM-660%7CA%3Badtech%7CPRGM-778%7CA%3Badtech%7CPRG-3468%7CB%3Badtech%7CFAPO-814%7CA"
