,image_5717,image_9441,image_8913,image_2690,image_9178,image_8036,image_6376,image_588,image_7570,image_5848,image_7928,image_7406
image_5717,4,0,0,4,0,0,0,0,4,0,0,0
image_9441,0,4,0,0,0,0,0,0,0,0,0,0
image_8913,0,0,4,4,0,0,0,0,4,0,0,0
image_2690,4,0,4,4,0,0,0,0,0,0,0,0
image_9178,0,0,0,0,4,0,0,4,0,0,0,0
image_8036,0,0,0,0,0,4,0,0,0,0,0,0
image_6376,0,0,0,0,0,0,4,0,0,0,0,0
image_588,0,0,0,0,4,0,0,4,0,0,0,0
image_7570,4,0,4,0,0,0,0,0,4,0,0,0
image_5848,0,0,0,0,0,0,0,0,0,4,0,0
image_7928,0,0,0,0,0,0,0,0,0,0,4,0
image_7406,0,0,0,0,0,0,0,0,0,0,0,4
