,image_7878,image_5833,image_4403,image_4426,image_8157,image_4430,image_6874,image_9770,image_6206,image_1678,image_1198,image_4779
image_7878,4,0,0,0,0,0,0,0,0,0,0,0
image_5833,0,4,0,0,0,0,0,0,0,0,0,0
image_4403,0,0,4,0,4,0,0,0,0,0,0,4
image_4426,0,0,0,4,2,4,4,0,4,4,0,0
image_8157,0,0,4,2,4,0,0,0,3,0,0,4
image_4430,0,0,0,4,0,4,0,0,4,4,0,0
image_6874,0,0,0,4,0,0,4,0,4,4,0,0
image_9770,0,0,0,0,0,0,0,4,0,2,0,0
image_6206,0,0,0,4,3,4,4,0,4,4,0,0
image_1678,0,0,0,4,0,4,4,2,4,4,0,0
image_1198,0,0,0,0,0,0,0,0,0,0,4,0
image_4779,0,0,4,0,4,0,0,0,0,0,0,4
