,image_4587,image_6556,image_1580,image_7323,image_7352,image_6324,image_4236,image_6278,image_347,image_7861,image_6995,image_6872,image_3037,image_9077,image_3821,image_8872,image_4477,image_8331,image_8958,image_8958.1,image_3748,image_3728
image_4587,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6556,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1580,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
image_7323,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7352,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6324,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4236,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6278,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_347,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7861,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_6995,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,2,0,0,0,0,0,0
image_6872,0,0,2,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0
image_3037,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,0,0,1,0,0,0
image_9077,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,0,0,0
image_3821,0,0,0,0,0,0,0,0,0,0,3,4,1,2,4,0,0,0,1,0,0,0
image_8872,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,4,0,0,0,0,0,0
image_4477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_8958,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0
image_8958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_3748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
