article_number,image number,alt,article_heading,article_url
1,1,Financial decisions need to be made calmly,Financial crisis hits 3 signs in October prophesy orishas,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/05/crise-financeira-chega-para-3-signos-em-outubro-profetizam-orixas.htm
2,1,The period will be favorable for advancing goals,Success journey arrives for 3 signs in the next few days says Tarot,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/05/jornada-de-sucesso-chega-para-3-signos-nos-proximos-dias-diz-taro.htm
3,1,It is of course a time when everyone can count on more impetus.,Life change arrives for 3 signs starting this Sunday October 6th,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/05/mudanca-de-vida-chega-para-3-signos-a-partir-de-610.htm
4,1,The period will be marked by unexpected changes,Radical transformation is coming for 3 signs from now on angels reveal,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/05/transformacao-radical-chega-para-3-signos-a-partir-de-510-revelam-anjos.htm
5,1,Time to say goodbye to that cactus inside the house,No cacti or stuff under the bed: adjust your home's Feng Shui in 8 steps,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/05/nada-de-cacto-e-coisa-embaixo-da-cama-ajuste-feng-shui-da-casa-em-8-passos.htm
6,1,Soon three signs will be called to make important decisions,Decision time is coming for 3 signs soon angels prophesy,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/04/momento-de-decisao-chega-para-3-signos-em-breve-profetizam-anjos.htm
7,1,Virgo may find themselves in a moment of deep reflection in relationships.,Period of loneliness is coming soon for 3 signs reveals guardian angel,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/04/periodo-de-solidao-chega-para-3-signos-em-breve-revela-anjo-da-guarda.htm
8,1,The month of October brings health alerts for three signs,Health alert arrives for 3 signs in October according to the Tarot,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/04/alerta-de-saude-chega-para-3-signos-em-outubro-de-acordo-com-o-taro.htm
9,1,It is necessary to talk about this in a light way without blaming offering conditions so that the pregnant woman can make better choices.,The pregnant woman eats the baby feels: what you need to know about microbiota,https://www.uol.com.br/universa/noticias/redacao/2024/10/04/a-gravida-come-o-intestino-do-bebe-sente-o-que-nao-te-contaram-sobre-isso.htm
9,2,It is essential to empower pregnant women about the crucial role they play in the health and development of their child during the first thousand days of life.,The pregnant woman eats the baby feels: what you need to know about microbiota,https://www.uol.com.br/universa/noticias/redacao/2024/10/04/a-gravida-come-o-intestino-do-bebe-sente-o-que-nao-te-contaram-sobre-isso.htm
9,3,Taste is also a legacy of pregnancy,The pregnant woman eats the baby feels: what you need to know about microbiota,https://www.uol.com.br/universa/noticias/redacao/2024/10/04/a-gravida-come-o-intestino-do-bebe-sente-o-que-nao-te-contaram-sobre-isso.htm
9,4,Image,The pregnant woman eats the baby feels: what you need to know about microbiota,https://www.uol.com.br/universa/noticias/redacao/2024/10/04/a-gravida-come-o-intestino-do-bebe-sente-o-que-nao-te-contaram-sobre-isso.htm
10,1,Three signs will face intense emotional challenges,Emotional challenge arrives for 3 signs in the next few days orishas reveal,https://www.uol.com.br/universa/horoscopo/noticias/redacao/2024/10/04/desafio-emocional-chega-para-3-signos-nos-proximos-dias-revelam-orixas.htm
