,image_2238,image_8102,image_7530,image_9779,image_4239,image_9995,image_5404,image_4117,image_2994,image_5985,image_6989,image_1274,image_6944,image_738
image_2238,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8102,0,4,0,0,0,1,1,0,1,0,0,0,0,1
image_7530,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_9779,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_4239,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9995,0,1,0,0,0,4,1,0,1,0,0,0,0,1
image_5404,0,1,0,0,0,1,4,0,2,0,0,0,0,2
image_4117,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_2994,0,1,0,0,0,1,2,0,4,0,0,0,0,2
image_5985,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_6989,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_1274,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_6944,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_738,0,1,0,0,0,1,2,0,2,0,0,0,0,4
