,image_5813,image_7160,image_1518,image_7104,image_4989,image_8766,image_3572,image_2494,image_6712,image_6008,image_8780,image_2269,image_9504
image_5813,4,4,0,0,0,0,0,0,0,0,0,0,0
image_7160,4,4,0,0,0,0,0,0,0,0,0,0,0
image_1518,0,0,4,0,0,0,0,0,0,0,0,0,0
image_7104,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4989,0,0,0,0,4,0,0,0,0,0,0,0,0
image_8766,0,0,0,0,0,4,4,4,2,0,0,0,2
image_3572,0,0,0,0,0,4,4,0,2,0,0,0,2
image_2494,0,0,0,0,0,4,0,4,0,0,0,0,0
image_6712,0,0,0,0,0,2,2,0,4,2,2,0,4
image_6008,0,0,0,0,0,0,0,0,2,4,4,0,2
image_8780,0,0,0,0,0,0,0,0,2,4,4,0,2
image_2269,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9504,0,0,0,0,0,2,2,0,4,2,2,0,4
