article_number,image number,alt,article_heading,article_url
1,1,NASA's Viper Rover,NASA puts billion-dollar rover up for sale; buyer will have to search for ice on the Moon,https://www.uol.com.br/carros/noticias/redacao/2024/10/04/nasa-poe-jipe-bilionario-a-venda-comprador-tera-de-buscar-gelo-na-lua.htm
2,1,Boston Dynamics Robot Dog,Robot dog starts being used in Jaguar Land Rover factory; what does it do?,https://www.uol.com.br/carros/noticias/redacao/2024/10/04/cao-robo-comeca-a-ser-usado-em-fabrica-da-jaguar-land-rover-o-que-ele-faz.htm
2,2,Image,Robot dog starts being used in Jaguar Land Rover factory; what does it do?,https://www.uol.com.br/carros/noticias/redacao/2024/10/04/cao-robo-comeca-a-ser-usado-em-fabrica-da-jaguar-land-rover-o-que-ele-faz.htm
3,1,Plug-in hybrid the new BYD Song Pro has a starting price in the range of R$ 190 thousand similar to that of the top-of-the-line Creta,Ford F-150 changes in the 2025 line: see price versions and news of the pickup,https://www.uol.com.br/carros/noticias/redacao/2024/10/01/ford-f-150-muda-na-linha-2025-veja-preco-versoes-e-novidades-da-picape.htm
4,1,Chevrolet Tracker caught testing in Teresina (PI),New Chevrolet Tracker is caught in camouflage; see details of the SUV,https://www.uol.com.br/carros/noticias/redacao/2024/10/01/novo-chevrolet-tracker-e-flagrado-camuflado-veja-detalhes-do-suv.htm
5,1,Ford Mustang GT Performance,Ford says goal is to make 'iconic cars' and leave 'boring' ones aside,https://www.uol.com.br/carros/noticias/redacao/2024/09/30/ford-diz-que-meta-e-fazer-carros-iconicos-e-deixar-chatos-de-lado.htm
6,1,Image,Why Brazil once had a Mercedes with the price of a Corolla and that ended,https://www.uol.com.br/carros/noticias/redacao/2024/10/05/por-que-brasil-ja-teve-mercedes-com-preco-de-corolla-e-isso-acabou.htm
7,1,Interior Volkswagen ID.Buzz,VW to eliminate 'cheap plastic' from car interiors in Europe,https://www.uol.com.br/carros/noticias/redacao/2024/09/30/vw-vai-eliminar-plastico-barato-no-interior-dos-seus-carros-na-europa.htm
8,1,,There was no shortage of warning: 5 mistakes that the manual warns you about and that you should avoid with your car… - See more at https://www.uol.com.br/carros/noticias/redacao/2024/10/05/nao-faltou-avisar-5-erros-que-manual-alerta-e-voce-deve-evitar-com-carro.htm?cmpid=copiaecola,https://www.uol.com.br/carros/noticias/redacao/2024/10/05/nao-faltou-avisar-5-erros-que-manual-alerta-e-voce-deve-evitar-com-carro.htm
8,2,,There was no shortage of warning: 5 mistakes that the manual warns you about and that you should avoid with your car… - See more at https://www.uol.com.br/carros/noticias/redacao/2024/10/05/nao-faltou-avisar-5-erros-que-manual-alerta-e-voce-deve-evitar-com-carro.htm?cmpid=copiaecola,https://www.uol.com.br/carros/noticias/redacao/2024/10/05/nao-faltou-avisar-5-erros-que-manual-alerta-e-voce-deve-evitar-com-carro.htm
9,1,Ford Territory,Territory: why the SUV is a success for Ford even though it sells little,https://www.uol.com.br/carros/colunas/primeira-classe/2024/09/30/um-ano-apos-o-lancamento-territory-atingiu-seus-objetivos.htm
10,1,Chinese connected vehicle,Why Joe Biden wants to ban Chinese and Russian connected cars from the US,https://www.uol.com.br/carros/noticias/redacao/2024/09/28/por-que-joe-biden-quer-banir-dos-eua-carros-conectados-chineses-e-russos.htm
