,image_9354,image_278,image_51,image_8038,image_4497,image_382,image_9371,image_2151,image_4711,image_3228,image_5233,image_5596,image_5827,image_2986,image_6829,image_3624,image_8542,image_1645,image_282,image_4771,image_3865,image_5483,image_223,image_4325
image_9354,4,0,4,4,3,0,2,3,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,3
image_278,0,4,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
image_51,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
image_8038,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
image_4497,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_382,0,3,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9371,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2151,3,0,3,4,0,0,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1
image_4711,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3228,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5233,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5596,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
image_5827,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
image_2986,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_6829,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_8542,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1645,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_4771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4325,3,0,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4
