Client ID,List Index,Number of Websites (FW),Number of Images (AC),Simple Cache (KB),Similarity Cache (KB)
1,1,1,10,5967.92,1106.94
2,1,1,10,1732.84,1732.84
3,1,1,10,489.00,464.63
4,1,1,10,458.64,458.64
5,1,1,10,1835.73,1835.73
6,1,1,10,1985.16,1901.18
7,1,1,10,4517.82,4400.00
8,1,1,10,479.15,384.19
9,1,1,10,2140.76,2140.76
10,1,1,10,813.71,734.52
11,1,1,10,1388.16,1388.16
12,1,1,10,1261.39,929.55
13,1,1,10,1411.80,1411.80
14,1,1,10,2924.67,2924.67
15,1,1,10,2597.58,2199.22
16,1,1,10,2372.43,2372.43
17,1,1,10,3006.67,3006.67
18,1,1,10,704.43,704.43
19,1,1,10,548.29,548.29
20,1,1,10,493.58,493.58
21,1,1,10,1373.24,1373.24
22,1,1,10,11623.69,11623.69
23,1,1,10,564.63,502.60
24,1,1,10,1602.81,1602.81
25,1,1,10,386.47,386.47
26,1,1,10,830.14,830.14
27,1,1,10,494.26,477.24
28,1,1,10,1621.07,1621.07
29,1,1,10,373.29,314.24
30,1,1,10,225.53,204.19
31,1,1,10,3173.18,3173.18
32,1,1,10,430.94,306.32
33,1,1,10,500.10,500.10
34,1,1,10,653.79,653.79
35,1,1,10,665.18,665.18
36,1,1,10,691.43,589.49
37,1,1,10,1413.55,1413.55
38,1,1,10,545.71,545.71
39,1,1,10,1009.21,930.32
40,1,1,10,913.75,913.75
41,1,1,10,1539.69,1404.52
42,1,1,10,1520.46,1520.46
43,1,1,10,610.00,610.00
44,1,1,10,1160.94,1160.94
45,1,1,10,1687.52,1272.08
46,1,1,10,3790.45,3095.60
47,1,1,10,872.28,781.72
48,1,1,10,338.51,338.51
49,1,1,10,10825.83,10825.83
50,1,1,10,1440.05,1440.05
51,1,1,10,11721.00,10515.06
52,1,1,10,736.63,703.93
53,1,1,10,1616.15,1616.15
54,1,1,10,218.62,218.62
55,1,1,10,741.28,627.90
56,1,1,10,226.56,226.56
57,1,1,10,1367.86,1274.85
58,1,1,10,1089.42,1089.42
59,1,1,10,330.76,330.76
60,1,1,10,2359.14,2014.15
61,1,1,10,357.54,357.54
62,1,1,10,1108.92,982.24
63,1,1,10,903.06,903.06
64,1,1,10,3906.64,3885.82
65,1,1,10,754.04,692.57
66,1,1,10,1175.63,1175.63
67,1,1,10,2388.89,2388.89
68,1,1,10,7740.55,5687.45
69,1,1,10,10631.57,10631.57
70,1,1,10,5960.37,824.36
71,1,1,10,2180.19,2180.19
72,1,1,10,801.49,801.49
73,1,1,10,4970.68,4970.68
74,1,1,10,571.50,571.50
75,1,1,10,8119.04,8119.04
76,1,1,10,674.00,595.03
77,1,1,10,557.47,491.67
78,1,1,10,1048.63,1048.63
79,1,1,10,1564.08,1564.08
80,1,1,10,3225.12,3225.12
81,1,1,10,596.81,596.81
82,1,1,10,1083.99,1083.99
83,1,1,10,335.83,335.83
84,1,1,10,236.47,183.04
85,1,1,10,1327.10,1327.10
86,1,1,10,1351.16,1351.16
87,1,1,10,339.77,339.77
88,1,1,10,274.84,252.72
89,1,1,10,1705.36,1705.36
90,1,1,10,1719.86,1719.86
91,1,1,10,20069.09,20069.09
92,1,1,10,3668.38,3668.38
93,1,1,10,1620.55,1488.91
94,1,1,10,294.57,294.57
95,1,1,10,1869.64,1831.32
96,1,1,10,333.44,311.34
97,1,1,10,426.68,379.71
98,1,1,10,1715.16,1715.16
99,1,1,10,518.69,518.69
100,1,1,10,212.43,196.44
1,2,1,20,1017.27,846.08
2,2,1,20,2167.23,1801.38
3,2,1,20,2463.70,2463.70
4,2,1,20,933.35,847.32
5,2,1,20,4104.29,3953.65
6,2,1,20,1738.35,1638.47
7,2,1,20,1183.45,1183.45
8,2,1,20,809.75,645.70
9,2,1,20,6771.08,3897.45
10,2,1,20,348.17,348.17
11,2,1,20,2009.10,1980.48
12,2,1,20,1055.85,1017.51
13,2,1,20,2081.63,1727.28
14,2,1,20,3105.15,3105.15
15,2,1,20,2765.53,2765.53
16,2,1,20,3752.19,3703.41
17,2,1,20,472.58,445.20
18,2,1,20,350.74,304.12
19,2,1,20,1003.50,1003.50
20,2,1,20,972.91,864.58
21,2,1,20,797.48,680.37
22,2,1,20,915.00,915.00
23,2,1,20,2753.42,2715.07
24,2,1,20,839.43,414.70
25,2,1,20,2500.19,2056.87
26,2,1,20,16998.51,13224.21
27,2,1,20,1844.97,1844.97
28,2,1,20,5417.52,5311.09
29,2,1,20,4219.87,4186.46
30,2,1,20,7559.13,4370.15
31,2,1,20,1678.65,1306.23
32,2,1,20,2004.25,1888.83
33,2,1,20,2565.55,2271.59
34,2,1,20,2487.69,2487.69
35,2,1,20,3804.74,3804.74
36,2,1,20,2635.15,2467.62
37,2,1,20,1180.38,1180.38
38,2,1,20,1420.19,1406.23
39,2,1,20,2498.64,1591.85
40,2,1,20,782.64,600.91
41,2,1,20,628.54,559.86
42,2,1,20,816.62,768.10
43,2,1,20,972.02,896.23
44,2,1,20,2186.53,1942.00
45,2,1,20,5083.95,4026.91
46,2,1,20,817.04,781.00
47,2,1,20,1689.89,1590.01
48,2,1,20,666.47,637.50
49,2,1,20,2680.91,2554.57
50,2,1,20,3105.86,2853.25
51,2,1,20,2308.70,2283.15
52,2,1,20,2377.36,2377.36
53,2,1,20,560.75,560.75
54,2,1,20,567.83,551.01
55,2,1,20,6054.50,5665.59
56,2,1,20,2936.04,2936.04
57,2,1,20,1626.05,1490.88
58,2,1,20,2338.48,2290.18
59,2,1,20,2057.18,2057.18
60,2,1,20,1995.38,1995.38
61,2,1,20,606.27,568.78
62,2,1,20,1102.83,1065.77
63,2,1,20,2130.61,2130.61
64,2,1,20,2594.71,2396.35
65,2,1,20,1657.75,1657.75
66,2,1,20,1435.46,1392.60
67,2,1,20,949.46,949.46
68,2,1,20,14800.83,14800.83
69,2,1,20,576.46,552.57
70,2,1,20,7043.22,7043.22
71,2,1,20,706.42,706.42
72,2,1,20,1819.73,1791.24
73,2,1,20,803.00,677.08
74,2,1,20,2371.34,2371.34
75,2,1,20,14474.52,13853.59
76,2,1,20,847.41,847.41
