,image_5098,image_1825,image_5403,image_171,image_20,image_1411,image_2549,image_555,image_6060,image_9634,image_351,image_6806,image_4077,image_9139,image_8865,image_6114,image_3168,image_5343,image_5381,image_7810,image_4534
image_5098,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1825,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5403,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_171,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_20,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1411,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2549,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_555,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
image_6060,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_9634,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_351,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_6806,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4077,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_9139,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_6114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_3168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_5343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_5381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_7810,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
