,image_4436,image_5557,image_8901,image_3954,image_3190,image_67,image_8799,image_3598,image_4380,image_7286,image_2958,image_575,image_4707
image_4436,4,0,0,0,0,0,0,0,2,0,0,0,0
image_5557,0,4,0,0,0,0,0,0,0,2,0,0,0
image_8901,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3954,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3190,0,0,0,0,4,0,0,0,2,0,0,0,0
image_67,0,0,0,0,0,4,0,0,0,0,0,0,0
image_8799,0,0,0,0,0,0,4,0,0,0,0,0,0
image_3598,0,0,0,0,0,0,0,4,0,0,0,0,0
image_4380,2,0,0,0,2,0,0,0,4,0,0,0,0
image_7286,0,2,0,0,0,0,0,0,0,4,0,1,0
image_2958,0,0,0,0,0,0,0,0,0,0,4,4,4
image_575,0,0,0,0,0,0,0,0,0,1,4,4,4
image_4707,0,0,0,0,0,0,0,0,0,0,4,4,4
