article_number,image number,alt,article_heading
1,1,Putin visits drone production plant (Reuters),Putin said that drones have radically changed the mechanisms of war
1,2,The Russian president noted that the new equipment can reach greater distances and speeds of between 300 and 700 kilometers per hour (Sputnik/Valery Sharifulin/Pool via REUTERS),Putin said that drones have radically changed the mechanisms of war
1,3,A firefighter works at the site of a Russian drone attack (REUTERS),Putin said that drones have radically changed the mechanisms of war
1,4,Russian President Vladimir Putin has chaired a meeting to discuss the conditions for using Russia's nuclear arsenal in the face of external threats (Reuters),Putin said that drones have radically changed the mechanisms of war
2,1,Mark Rutte takes over as the new NATO secretary general (REUTERS/Yves Herman),Mark Rutte has been appointed as the new NATO secretary general with a commitment to keep Ukraine among the alliance's priorities
2,2,Mark Rutte hopes to keep Ukraine among the alliance's priorities (REUTERS/FILE),Mark Rutte has been appointed as the new NATO secretary general with a commitment to keep Ukraine among the alliance's priorities
2,3,The Dutch leader expressed his willingness to work with Kamala Harris or Donald Trump (REUTERS/Yves Herman),Mark Rutte has been appointed as the new NATO secretary general with a commitment to keep Ukraine among the alliance's priorities
3,1,File photo of a Ukrainian soldier (EFE/Orlando Barría),An American captured as a combatant in Ukraine pleaded guilty in a Moscow court
3,2,Ukrainian soldiers in Pokrovsk Donetsk region (EFE/ Mikola Koval),An American captured as a combatant in Ukraine pleaded guilty in a Moscow court
4,1,One of the big questions about the U.S. presidential election is about foreign policy and whether it will change under the new administration whoever it may be. (REUTERS/Eduardo Muñoz and Nathan Howard),Will any foreign policy proposals for the United States emerge from the current election campaign?
4,2,One of the main points of focus in the US political debate is the Biden administration's unbridled support for Ukraine. (REUTERS/Leah Millis/File photo),Will any foreign policy proposals for the United States emerge from the current election campaign?
4,3,The strategic alliance between China and Russia is causing concern among political elites in Washington. (Sputnik/Sergei Guneev/Pool via REUTERS),Will any foreign policy proposals for the United States emerge from the current election campaign?
4,4,FILE PHOTO: World leaders attend a meeting of the NATO-Ukraine Council during the NATO 75th anniversary summit in Washington U.S. July 11 2024. (REUTERS/Yves Herman),Will any foreign policy proposals for the United States emerge from the current election campaign?
5,1,Ukrainian soldiers operate a drone in a file photo (EFE/ Markiian Lyseiko),Ukraine uses drones to attack an Iranian missile depot in Russia
5,2,Ukrainian soldiers. REUTERS/Toby Melville/File Photo/File Photo,Ukraine uses drones to attack an Iranian missile depot in Russia
5,3,In this image provided by the Ukrainian Emergency Service a damaged apartment block is seen following a Russian glider bomb attack in Zaporizhia Ukraine Saturday Sept. 29 2024. (Ukrainian Emergency Service via AP),Ukraine uses drones to attack an Iranian missile depot in Russia
6,1,"Secretary of State Antony Blinken expressed Washington's ""deep concern"" about the support that companies from the Asian giant provide to the Kremlin's defense industry (REUTERS)",The United States has demanded that the Chinese regime stop supporting the Russian war machine in Ukraine
6,2,The United States has demanded that the Chinese regime stop supporting the Russian war machine in Ukraine (EFE/OLGA FEDOROVA),The United States has demanded that the Chinese regime stop supporting the Russian war machine in Ukraine
6,3,The Ukrainian leader presented his detailed “Victory Plan” to Democratic Representative and current Vice President Kamala Harris as well as Republican candidate and former President Donald Trump thanking the US Congress for its “full support” in their meetings (REUTERS/Shannon Stapleton),The United States has demanded that the Chinese regime stop supporting the Russian war machine in Ukraine
7,1,Volodymyr Zelensky (REUTERS/Kevin Lamarque),China and Brazil press ahead with Ukraine peace plan despite Zelensky's anger
7,2,Wang Yi (REUTERS/Eduardo Munoz),China and Brazil press ahead with Ukraine peace plan despite Zelensky's anger
8,1,A new Russian attack on Zelensky's hometown left at least three dead and six injured (Europa Press),New Russian attack on Zelensky's hometown leaves at least three dead and six injured
8,2,In Izmail the latest Russian attack left three dead and 11 wounded (REUTERS),New Russian attack on Zelensky's hometown leaves at least three dead and six injured
8,3,Zelensky met with Biden Harris and Trump during his trip to the United States (REUETRS),New Russian attack on Zelensky's hometown leaves at least three dead and six injured
9,1,Patriot missile launch (EFE/YONHAP),Biden approved a new military aid package for Ukraine with precision bombs and Patriot missiles
9,2,U.S. Senate Majority Leader Chuck Schumer and Senator Mitch McConnell walk alongside Ukrainian President Volodymyr Zelensky on Capitol Hill (EFE/EPA/JIM LO SCALZO),Biden approved a new military aid package for Ukraine with precision bombs and Patriot missiles
10,1,Putin visits a nuclear development plant in Dubna (Sputnik/Alexander Kazakov/Pool via REUTERS),The Kremlin is no longer hiding its threats to the West after its changes in nuclear doctrine: “It is a warning”
10,2,Putin during a meeting of the Security Council on Wednesday where changes to the nuclear doctrine were discussed (Sputnik/Alexander Kazakov/Kremlin via REUTERS),The Kremlin is no longer hiding its threats to the West after its changes in nuclear doctrine: “It is a warning”
10,3,A Yars intercontinental ballistic missile which can carry a nuclear warhead is seen during a parade in Moscow's Red Square (REUTERS/Evgenia Novozhenina),The Kremlin is no longer hiding its threats to the West after its changes in nuclear doctrine: “It is a warning”
