,image_2211,image_9171,image_3955,image_156,image_1901,image_6141,image_2903,image_124,image_5152,image_8691,image_7118,image_5469,image_3092,image_1051,image_3647,image_5102,image_4316,image_1144,image_9617,image_4839,image_928,image_1051.1,image_4174,image_8765,image_4858,image_1841,image_6682,image_3778
image_2211,4,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_9171,0,4,0,1,2,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3955,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
image_156,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_1901,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6141,3,3,1,0,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2903,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_124,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5152,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
image_8691,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
image_7118,0,3,0,0,0,0,0,0,0,0,4,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
image_5469,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0
image_3092,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1051,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0
image_3647,0,0,0,0,0,1,0,0,0,0,2,1,2,0,4,0,0,0,0,0,0,1,3,1,0,0,0,0
image_5102,0,4,0,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4316,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0
image_9617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0
image_4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0
image_928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1051,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0
image_4174,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
image_4858,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,4,0,0,0,0,4,0,0,0
image_1841,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_6682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3778,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
