,image_2_0,image_2_1,image_3_0,image_4_0,image_4_1,image_5_0,image_6_0,image_7_0,image_8_0,image_9_0,image_9_1,image_10_0,image_11_0,image_11_1
image_2_0,4,0,4,0,0,0,0,0,0,1,0,0,0,0
image_2_1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3_0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
image_4_0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_4_1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_5_0,0,0,0,0,0,4,0,0,4,4,3,0,0,0
image_6_0,0,0,0,0,0,0,4,4,0,0,0,0,2,4
image_7_0,0,0,0,0,0,0,4,4,0,0,0,2,2,4
image_8_0,0,0,0,0,0,4,0,0,4,3,2,0,0,0
image_9_0,1,0,0,0,0,4,0,0,3,4,0,0,0,0
image_9_1,0,0,0,0,0,3,0,0,2,0,4,0,0,0
image_10_0,0,0,0,0,0,0,0,2,0,0,0,4,4,2
image_11_0,0,0,0,0,0,0,2,2,0,0,0,4,4,0
image_11_1,0,0,0,0,0,0,4,4,0,0,0,2,0,4
