,image_9361,image_4958,image_4476,image_8159,image_954,image_1156,image_810,image_4620,image_2291,image_410,image_3545,image_2989,image_4998,image_8817
image_9361,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4958,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4476,0,0,4,0,0,0,0,0,0,0,0,0,2,0
image_8159,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_954,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_1156,0,0,0,0,0,4,0,0,0,0,0,1,1,0
image_810,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_4620,0,0,0,0,0,0,0,4,0,0,0,1,1,0
image_2291,0,0,0,0,0,0,0,0,4,0,0,0,2,0
image_410,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3545,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_2989,0,0,0,0,0,1,0,1,0,0,0,4,1,0
image_4998,0,0,2,0,0,1,0,1,2,0,0,1,4,0
image_8817,0,0,0,0,0,0,0,0,0,0,0,0,0,4
