,image_9997,image_1441,image_123,image_4644,image_2984,image_6272,image_1303,image_200,image_7330,image_9694,image_4092,image_1911,image_1280
image_9997,4,0,0,0,0,1,0,0,0,0,0,0,4
image_1441,0,4,0,0,0,0,0,0,0,0,0,0,0
image_123,0,0,4,4,0,0,0,0,0,0,0,0,0
image_4644,0,0,4,4,0,0,0,0,0,0,0,0,0
image_2984,0,0,0,0,4,0,0,0,0,0,0,0,0
image_6272,1,0,0,0,0,4,0,0,0,0,0,0,0
image_1303,0,0,0,0,0,0,4,0,0,0,0,0,2
image_200,0,0,0,0,0,0,0,4,0,0,0,0,3
image_7330,0,0,0,0,0,0,0,0,4,0,0,0,0
image_9694,0,0,0,0,0,0,0,0,0,4,0,0,0
image_4092,0,0,0,0,0,0,0,0,0,0,4,0,0
image_1911,0,0,0,0,0,0,0,0,0,0,0,4,0
image_1280,4,0,0,0,0,0,2,3,0,0,0,0,4
