,image_6713,image_7400,image_5242,image_2740,image_6995,image_499,image_6625,image_2195,image_3951,image_4660,image_6257,image_9921,image_1205,image_187,image_1834,image_1501,image_9315,image_8328,image_8992,image_8718
image_6713,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7400,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
image_5242,0,0,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
image_2740,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
image_6995,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
image_499,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0
image_6625,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
image_2195,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3951,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
image_4660,0,2,4,2,4,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0
image_6257,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9921,0,0,0,0,0,0,0,0,3,0,0,4,0,2,0,1,0,0,0,0
image_1205,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_187,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
image_1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_1501,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
image_9315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_8328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_8992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_8718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
