image number,alt,article_heading
image_1_1.jpg,From left: John McVie Lindsey Buckingham Christine McVie Stevie Nicks and Mick Fleetwood. (Fin Costello/Redferns/Getty Images),Why Fleetwood Mac is forever
image_2_1.jpg,Sophie Kinsella. (John Swannell),Sophie Kinsella still writes happy endings. They’re just different now.
image_3_1.jpg,(Grove),Will Self bends autofiction to fit his distinctive style in ‘Elaine’
image_4_1.jpg,(NYRB),A collection of ancient Indian stories given new life
image_5_1.jpg,Renée Zellweger in “Bridget Jones: The Edge Of Reason.” (Universal/Studio Canal/Miramax/Kobal/Shutterstock),How does Bridget Jones hold up?
image_6_1.jpg,(William Morrow),In ‘Rejection’ heartbreak leads to tough questions about identity
image_7_1.jpg,(Illustration by Katty Huertas/The Washington Post; iStock),‘The Book of George’ skewers the arrested development of American men
image_8_1.jpg,(Penguin Press),Karl Ove Knausgaard’s ‘Third Realm’ will creep under your skin
image_9_1.jpg,,‘The Sequel’ is the perfect suspense tale for Patricia Highsmith fans
image_10_1.jpg,,‘Shred Sisters’ is the kind of novel readers won’t want to end
