article_number,image number,alt,article_heading
1,1,Vadel Badjideh akui putusi Lolly,Absent Examination Vadel Badjideh will be written again on 4th October
2,1,Gedung Mahkamah Konstitusti (MK)-(Angi Muliawati/detikcom),MK of Gugat Warga Minta Kotak Kosong of all elections even if there is only one candidate
3,1,Gedung Mahkamah Konstitusti (MK)-(Angi Muliawati/detikcom),Gugatan Kader PD di MK Kandas Walkot di Jakarta continues to be appointed Governor
4,1,Jubir KPK Tessa Mahardhika Sugiarto (Yogi-detikcom),KPK Check PNS Body Quarantine Fill in the Penbelian Asset for SYL
5,1,Dirdik KPK Asep Guntur Rahayu (right) and Jubir KPK Tessa Mahardhika (right) as they meet the press of KPK building.,KPK Sita Dokument Related to Izin Tambang from the House of Former Governor Kaltim
6,1,Former Director of Finance PT Timah Tbk Emil Ermindra became a witness in the case of corruption management team. (Mulia/detikcom),Tetian Wahyudi Sampat Kirim WA ke Eks Dirut PT Timah Apa Isinya?
7,1,Juru Bikar KPK Tessa Mahardhika saat meeta pers di KPK,KPK Cegah Ex-Governor Kaltim's External Affairs Related Case Is Tambang
8,1,Head of Department of Law and Legal Rabithah Alawiyah Ahmad Ramzy Baabud. (Dok Rabithah Alawiyah),Rabithah Alawiyah Bersyukur Pemalsu Sertificat Habib Divonis 15 Tahun Bui
9,1,Juru Bikar KPK Tessa Mahardhika saat meeta pers di KPK,KPK Tepatkan 3 Tersangka Related To Rented House Former Governor Kaltim
10,1,Two former directors of PT Timah Tbk said they were involved in the corruption case of management team that cost the country financial Rp 300 trillion. The two former Directors of PT Timah are Mochtar Riza Pahlevi Tabrani as Director General of PT Timah Tbk for the period 2016-2021 and Emil Ermindra as Director of Finance PT Timah Tbk for the period 2016-2020.,Hakim Sidang Harvey's first direct PT Timah: Aneh-aneh Karjaanmu
