article_number,image number,alt,article_heading,article_url
1,1,Cover photo of the article: Getty Images / Robert Prange / In the photo: Iga Świątek and Aryna Sabalenka,Bad news. Sabalenka is one step away from dethroning Świątek,https://sportowefakty.wp.pl/tenis/1149361/fatalne-wiesci-sabalenka-o-krok-od-zdetronizowania-swiatek
2,1,Cover photo of the article: Getty Images / Robert Prange and WP SportoweFakty / In the photo: Iga Świątek and Wojciech Fibak,Fibak comments on Świątek's dismissal of coach. A disturbing moment,https://sportowefakty.wp.pl/tenis/1149330/fibak-mocno-o-zwolnieniu-trenera-przez-swiatek-niepokojacy-moment
3,1,Cover photo of the article: PAP/EPA / Wu Hao / In the photo: Daniil Medvedev,Daniil Medvedev's victorious start. Defeat of the champion from Tokyo,https://sportowefakty.wp.pl/tenis/1149385/zwycieski-start-danila-miedwiediewa-porazka-mistrza-z-tokio
4,1,Cover photo of the article: PAP/EPA / JOHN G. MABANGLO / In the photo: Qinwen Zheng,The fans are over the moon. They will play for the final in front of their home crowd,https://sportowefakty.wp.pl/tenis/1149406/kibice-wniebowzieci-zagra-o-final-przed-wlasna-publicznoscia
5,1,Cover photo of the article: Press materials / Invest in Szczecin Open / In the photo: Jasza Szajrych,We know the semi-finalists of the competition in Kozerki. A tough Friday for Poles,https://sportowefakty.wp.pl/tenis/1149229/znamy-polfinalistow-zawodow-w-kozerkach-ciezki-piatek-dla-polakow
6,1,Cover photo of the article: Getty Images / Susan Mullane/ISI Photos/live-tennis.eu / On the main page: Iga Świątek in the frame: WTA Live ranking,See WTA rankings after Sabalenka's defeat,https://sportowefakty.wp.pl/tenis/1149320/czeszka-zagrala-dla-igi-swiatek-tylko-spojrz-na-ranking-wta
7,1,Cover photo of the article: Getty Images / Matthew Stockman / Agnieszka Radwańska and Tomasz Wiktorowski,Radwańska led him to the very end. She gave him a funny nickname,https://sportowefakty.wp.pl/tenis/1149312/radwanska-prowadzil-do-samego-konca-nadala-mu-smieszny-pseudonim
8,1,Cover photo of the article: Getty Images / VCG / In the photo: Aryna Sabalenka,She did it again. Sabalenka out of the tournament!,https://sportowefakty.wp.pl/tenis/1149228/znow-to-zrobila-czeszka-ma-patent-na-sabalenke
9,1,Cover photo of the article: Getty Images / Robert Prange / From the left: Tomasz Wiktorowski and Iga Świątek,The titles can make your head spin. He achieved so much with Iga Świątek,https://sportowefakty.wp.pl/tenis/1149287/od-tytulow-moze-sie-zakrecic-w-glowie-tyle-osiagnal-z-iga-swiatek
10,1,Getty Images / Susan Mullane/ISI Photos/WP SportoweFakty/Mateusz Czarnecki / In the photo: Iga Świątek and Jan Tomaszewski,"Something's not right here."" Legend has no doubts about Świątek""",https://sportowefakty.wp.pl/tenis/1149372/cos-tu-nie-gra-legenda-nie-ma-watpliwosci-ws-swiatek
