,image_8388,image_4862,image_2440,image_977,image_4928,image_4123,image_9184,image_4292,image_3882,image_7773,image_1045,image_5076,image_4086,image_2830,image_4933,image_6189,image_3724,image_3977
image_8388,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
image_4862,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2440,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_977,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0
image_4928,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0
image_4123,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0
image_9184,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_4292,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3882,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0
image_7773,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0
image_1045,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_5076,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_4086,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_2830,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_4933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_6189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_3724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_3977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
