,image_8091,image_7404,image_4015,image_7654,image_2860,image_8690,image_6297,image_6086,image_2742,image_1953,image_3697,image_2756,image_1287,image_6465,image_953,image_1979,image_2470,image_5964,image_4626
image_8091,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
image_7404,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
image_4015,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7654,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2860,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8690,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
image_6297,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0
image_6086,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
image_2742,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4
image_1953,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3697,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_2756,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_1287,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_6465,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_953,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0
image_1979,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0
image_2470,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0
image_5964,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0
image_4626,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
