,image_6514,image_8089,image_5271,image_7239,image_285,image_6968,image_8288,image_9008,image_7947,image_5308,image_7985,image_5214,image_7594,image_5261,image_1643,image_290,image_4984,image_6958,image_5195,image_7188,image_6407,image_8872,image_8563,image_9889,image_9904,image_8372,image_7606,image_754,image_4696,image_8840,image_1827,image_8186,image_4505
image_6514,4,0,0,0,1,0,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_8089,0,4,0,0,1,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_5271,0,0,4,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
image_7239,0,0,0,4,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_285,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6968,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8288,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9008,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7947,1,1,1,1,0,0,0,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
image_5308,2,2,2,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_7985,3,2,2,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_5214,2,2,2,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_7594,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_5261,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_6958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7188,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6407,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_8872,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_8563,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_9889,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9904,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_8372,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_7606,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_754,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_4696,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_8840,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_1827,2,2,2,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_8186,1,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_4505,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
