,image_8302,image_229,image_4688,image_5470,image_90,image_2412,image_231,image_9338,image_454,image_9737,image_7214,image_3939,image_5409,image_6702,image_8193
image_8302,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_229,0,4,0,0,0,2,2,2,0,0,0,0,0,0,0
image_4688,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0
image_5470,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_90,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_2412,0,2,1,0,0,4,2,2,0,0,0,0,0,0,0
image_231,0,2,1,0,0,2,4,0,0,0,0,0,0,0,0
image_9338,0,2,1,0,0,2,0,4,0,0,0,0,0,0,0
image_454,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_9737,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_7214,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3939,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_5409,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_6702,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
