,image_7480,image_3314,image_1731,image_5956,image_6891,image_4949,image_29,image_9828,image_9300,image_4030,image_9667,image_1146,image_5757,image_1458,image_2243,image_7842,image_5465,image_7237,image_9650,image_459,image_3112,image_5949
image_7480,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_3314,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1731,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_5956,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
image_6891,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
image_4949,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_29,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9828,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_9300,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4030,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0
image_9667,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_1146,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_5757,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_1458,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_7842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_5465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_7237,4,0,4,2,2,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0
image_9650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
