article_number,image number,alt,article_heading
1,1,,After being a vegetarian for half a year a 25-year-old woman developed fatty liver
2,1,,Scientists discover biomolecules that could survive on Venus
3,1,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
3,2,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
3,3,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
3,4,,The first domestic innovative nuclear medicine was included in the priority review! Listed companies that benefited
4,1,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
4,2,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
4,3,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
4,4,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
4,5,,Mixing these two drinks together can cause long-term damage to your brain! Don't drink this at holiday parties
5,1,,These vegetables can really lower blood pressure study finds
5,2,,These vegetables can really lower blood pressure study finds
5,3,,These vegetables can really lower blood pressure study finds
5,4,,These vegetables can really lower blood pressure study finds
5,5,,These vegetables can really lower blood pressure study finds
5,6,,These vegetables can really lower blood pressure study finds
5,7,,These vegetables can really lower blood pressure study finds
5,8,,These vegetables can really lower blood pressure study finds
5,9,,These vegetables can really lower blood pressure study finds
5,10,,These vegetables can really lower blood pressure study finds
6,1,,Scientists discover circadian rhythm disruption may lead to cancer
7,1,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
7,2,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
7,3,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
7,4,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
7,5,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
7,6,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
7,7,,Taro is on the market in large quantities. Reminder: Do not eat these four things at the same time. Remember the taboos of eating taro
8,1,,Overnight water or boiled water does not really cause cancer but these foods must not be left until the next day!
9,1,,"I've never seen such a thing before: a light bulb was stuck in the anus, and even surgery couldn't fix it, but it was taken out by a rotation student..."
9,2,,"I've never seen such a thing before: a light bulb was stuck in the anus, and even surgery couldn't fix it, but it was taken out by a rotation student..."
9,3,,"I've never seen such a thing before: a light bulb was stuck in the anus, and even surgery couldn't fix it, but it was taken out by a rotation student..."
10,1,,"17-year-old boy suddenly ""becomes"" a girl: rare abnormality of sexual development and difficult gender selection"
