,image_8935,image_6782,image_5918,image_1733,image_4709,image_6871,image_51,image_2302,image_8924,image_9224,image_5286,image_9730,image_5811,image_5261,image_4656,image_2023,image_4883,image_6164,image_4274,image_8212,image_3051,image_31,image_8699,image_9730.1,image_8862,image_9691,image_245,image_6884,image_6609,image_2193,image_8117,image_9089
image_8935,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6782,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5918,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1733,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4709,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6871,0,0,0,0,0,4,2,2,1,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,0,0,0
image_51,0,0,0,0,0,2,4,0,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0
image_2302,0,0,0,0,0,2,0,4,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0
image_8924,0,0,0,0,0,1,0,0,4,1,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0
image_9224,0,0,0,0,0,4,1,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,0,0,0
image_5286,0,0,0,0,0,4,1,1,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,4,4,0,0,0
image_9730,0,0,0,0,0,4,2,2,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,0,0,0
image_5811,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5261,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4656,1,1,1,1,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
image_2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0
image_6164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,3,0,0,0,0,0,0
image_4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,3,0,0,0,0,0,0
image_8212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3051,0,0,0,0,0,1,2,2,2,2,2,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
image_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_8699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_9730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0
image_8862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0
image_9691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0
image_245,0,0,0,0,0,4,2,2,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6884,0,0,0,0,0,4,2,2,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_6609,0,0,0,0,0,4,1,1,1,4,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0
image_2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_8117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_9089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
