,image_1_1,image_2_1,image_2_2,image_2_3,image_3_1,image_4_1,image_4_2,image_4_3,image_4_4,image_4_5,image_4_6,image_4_7,image_4_8,image_4_9,image_4_10,image_5_1,image_5_2,image_6_1,image_7_1,image_7_2,image_8_1,image_9_1,image_10_1
image_1_1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_2_1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_2_2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_2_3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,2,2,1
image_3_1,1,2,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,2,2,1
image_4_1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4_2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4_3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4_4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4_5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4_6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_4_7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_4_8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0
image_4_9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_4_10,2,2,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5_1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,1,0,1,1,0
image_5_2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,1,0,1,1,0
image_6_1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_7_1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_7_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,2
image_8_1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_9_1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,4,4,2,4,4,4
image_10_1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,4,4
