,image_6439,image_4963,image_3931,image_6461,image_6782,image_3572,image_4070,image_1325,image_2530,image_5378,image_516,image_4611
image_6439,4,0,0,0,0,0,0,0,0,0,0,0
image_4963,0,4,0,0,0,0,0,2,2,0,0,0
image_3931,0,0,4,0,0,0,1,0,0,0,0,0
image_6461,0,0,0,4,0,0,0,0,0,0,0,0
image_6782,0,0,0,0,4,0,0,0,0,0,0,0
image_3572,0,0,0,0,0,4,0,0,0,0,0,0
image_4070,0,0,1,0,0,0,4,0,0,0,0,0
image_1325,0,2,0,0,0,0,0,4,2,1,0,0
image_2530,0,2,0,0,0,0,0,2,4,2,0,0
image_5378,0,0,0,0,0,0,0,1,2,4,0,2
image_516,0,0,0,0,0,0,0,0,0,0,4,0
image_4611,0,0,0,0,0,0,0,0,0,2,0,4
