,image_6254,image_2956,image_5677,image_7934,image_3173,image_1816,image_1049,image_9630,image_4000,image_6698,image_5531,image_1847,image_2724,image_7241,image_704,image_6050,image_9008,image_5707
image_6254,4,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
image_2956,2,4,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0
image_5677,3,0,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
image_7934,1,0,0,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0
image_3173,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0
image_1816,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_1049,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0
image_9630,0,2,1,1,0,0,0,4,0,0,0,3,2,2,0,0,0,0
image_4000,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
image_6698,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
image_5531,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0
image_1847,1,1,1,1,1,0,0,3,0,0,0,4,0,0,0,0,0,0
image_2724,0,1,1,1,1,0,0,2,0,0,0,0,4,0,1,2,0,0
image_7241,0,1,1,1,1,0,0,2,0,0,0,0,0,4,1,2,0,0
image_704,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,1
image_6050,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0
image_9008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
image_5707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
