image number,alt,article_heading
image_1_1.jpg,no alt text,Myanmar military unleashes drones to counter rebel advances
image_2_1.jpg,no alt text,White House forms emergency team to deal with China espionage hack
image_3_1.jpg,no alt text,North Korean forces are backing Russia inside Ukraine officials say
image_4_1.jpg,no alt text,Ratan Tata Indian billionaire and philanthropist dies at 86
image_5_1.jpg,no alt text,Nobel Prize in literature awarded to Han Kang
image_6_1.jpg,no alt text,Taiwan’s President Lai says Beijing ‘has no right’ to represent Taipei
image_7_1.jpg,no alt text,Intrepid koala caught wandering train station dangerously close to tracks
image_8_1.jpg,no alt text,New Zealand navy ship sinks prompting environmental concerns
image_9_1.jpg,no alt text,Below the surface in a ‘new Kashmir’ anger over repression by India
image_10_1.jpg,no alt text,The world’s mayors want to change the conversation on migration
