,image_1_0,image_2_0,image_3_0,image_3_1,image_3_2,image_5_0,image_6_0,image_6_1,image_7_0,image_8_0,image_9_0,image_10_0,image_12_0
image_1_0,4,4,0,0,0,0,0,0,0,0,0,0,0
image_2_0,4,4,0,0,0,0,0,0,0,0,0,0,0
image_3_0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_3_1,0,0,0,4,0,0,0,0,0,0,0,0,0
image_3_2,0,0,0,0,4,0,0,0,0,0,0,0,0
image_5_0,0,0,0,0,0,4,4,4,2,0,0,0,2
image_6_0,0,0,0,0,0,4,4,0,2,0,0,0,2
image_6_1,0,0,0,0,0,4,0,4,0,0,0,0,0
image_7_0,0,0,0,0,0,2,2,0,4,2,2,0,4
image_8_0,0,0,0,0,0,0,0,0,2,4,4,0,2
image_9_0,0,0,0,0,0,0,0,0,2,4,4,0,2
image_10_0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_12_0,0,0,0,0,0,2,2,0,4,2,2,2,4
